PILOTEXPENSE,AIRCRAFT_FUEL,OTHER_EXPENSES,TOTAL_DIRECT_LESS_RENT,MAINTENANCE,DEPAND_RENTAL,TOTAL_DIRECT,FLIGHT_ATTENDANTS,TRAFFIC,DEPARTURE,CAPACITY,TOTAL_INDIRECT,TOTAL_OP_EXPENSE,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,,11.63,11.63,37.06,,,,9,9,999,20382,VCQ,Victory Air Transport Inc.,VCQ,Victory Air Transport Inc.,07025,D,4,1,2004,2
,,,,,,,,,,74.70,74.70,3981.97,,,,9,9,999,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",01162,D,4,1,2012,2
,,,,,,,,,,80.33,80.33,1248.82,,,,9,9,999,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1992,4
,,,,,,,,,,85.80,85.80,576.90,,,,9,9,999,,,,CRQ,,,S,,,1990,2
,,,,,,,,,,92.15,92.15,481.01,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2001,2
,,,,,,,,,,92.15,92.15,481.01,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2002,2
,,,,,,,,,,108.98,108.98,3906.96,,,,9,9,999,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",01162,D,4,1,2013,4
,,,,,,,,,,118.79,118.79,3021.16,,,,9,9,999,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2001,2
,,,,,,,,,,147.59,147.59,349.24,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2001,4
,,,,,,,,,,205.06,205.06,640.81,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2000,4
,,,,,,,,,,212.13,212.13,2418.06,,,,9,9,999,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2000,4
,,,,,,,,,,216.18,216.18,788.53,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1999,2
,,,,,,,,,,216.42,216.42,726.83,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1999,4
,,,,,,,,,,220.78,220.78,4738.74,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2002,4
,,,,,,,,,,243.62,243.62,498.70,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2000,2
,,,,,,,,,,245.97,245.97,2479.20,,,,9,9,999,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2003,2
,,,,,,,,,,280.49,280.49,2259.27,,,,9,9,999,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2003,4
,,,,,,,,,,331.92,331.92,2758.86,,,,9,9,999,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2002,4
,,,,,,,,,,389.14,389.14,3132.98,,,,9,9,999,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2001,4
,,,,,,,,,,394.47,394.47,2787.45,,,,9,9,999,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2002,2
,,,,,,,,,,478.20,478.20,4972.26,,,,9,9,999,20168,W9,Eastwind Airlines Inc.,W9,Eastwind Airlines Inc.,06290,D,4,1,1996,2
,,,,,,,,,,495.02,495.02,8264.45,,,,9,9,999,20168,W9,Eastwind Airlines Inc.,W9,Eastwind Airlines Inc.,06290,D,4,1,1997,2
,,,,,,,,,,658.27,658.27,3362.56,,,,9,9,999,20168,W9,Eastwind Airlines Inc.,W9,Eastwind Airlines Inc.,06290,D,4,1,1995,4
,,,,,,,,,,668.51,668.51,7496.71,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2005,2
,,,,,,,,,,691.28,691.28,10001.43,,,,9,9,999,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,1999,2
,,,,,,,,,,729.43,729.43,12778.40,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2004,2
,,,,,,,,,,762.19,762.19,7512.66,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2004,4
,,,,,,,,,,788.13,788.13,5802.96,,,,9,9,999,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1992,4
,,,,,,,,,,789.60,789.60,11377.72,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06038,S,4,1,2003,2
,,,,,,,,,,810.69,810.69,10868.86,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2003,4
,,,,,,,,,,867.60,867.60,3694.98,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2001,2
,,,,,,,,,,942.30,942.30,5441.70,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2000,4
,,,,,,,,,,943.41,943.41,10532.27,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2005,4
,,,,,,,,,,1017.85,1017.85,5552.53,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2001,4
,,,,,,,,,,1097.18,1097.18,7876.81,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,1,1,2008,2
,,,,,,,,,,1164.11,1164.11,8650.12,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1999,2
,,,,,,,,,,1181.82,1181.82,10701.93,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2000,2
,,,,,,,,,,1216.00,1216.00,23774.00,,,,9,9,999,,,,TCQ,,,S,,,2001,2
,,,,,,,,,,1235.97,1235.97,11563.55,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2007,2
,,,,,,,,,,1239.90,1239.90,8856.92,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06038,S,4,1,2006,2
,,,,,,,,,,1249.44,1249.44,5346.48,,,,9,9,999,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1993,2
,,,,,,,,,,1318.60,1318.60,10745.70,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2003,2
,,,,,,,,,,1328.33,1328.33,6343.84,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1997,4
,,,,,,,,,,1381.25,1381.25,9238.28,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2006,4
,,,,,,,,,,1413.50,1413.50,11014.33,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2002,4
,,,,,,,,,,1549.03,1549.03,8252.64,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,1,1,2008,4
,,,,,,,,,,1575.19,1575.19,12238.97,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2007,4
,,,,,,,,,,1600.67,1600.67,12577.59,,,,9,9,999,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,2000,2
,,,,,,,,,,1624.09,1624.09,7832.06,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2009,4
