YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
2019,8,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,2,2,4538,104,4642,4590
2019,8,20366,EV,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,2,2,2740,2,2742,2741
2019,8,20368,G4,Allegiant Air,G4,Allegiant Air,3,3,3748,445,4193,3971
2019,8,20370,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,2,2,1997,10,2007,2002
2019,8,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,1,1,156,0,156,156
2019,8,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,2,2,971,2,973,972
2019,8,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2,2,3621,12,3633,3627
2019,8,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,2,2,4472,8,4480,4476
2019,8,20398,MQ,Envoy Air,MQ,Envoy Air,3,3,12135,4255,16390,14263
2019,8,20402,GL,Miami Air International,GL,Miami Air International,2,2,343,11,354,349
2019,8,20405,N8,National Air Cargo Group Inc d/ba National Airlines,N8,National Air Cargo Group Inc d/ba National Airlines,2,2,230,0,230,230
2019,8,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,1,312,55,367,340
2019,8,20409,B6,JetBlue Airways,B6,JetBlue Airways,3,3,16602,5032,21634,19118
2019,8,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,3,3,7917,363,8280,8099
2019,8,20422,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,2,2,1499,21,1520,1510
2019,8,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,3,3,4702,47,4749,4726
2019,8,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2,2,394,0,394,394
2019,8,20452,YX,Republic Airline,YX,Republic Airline,3,3,5877,300,6177,6027
2019,8,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,2,2,470,2,472,471
2019,8,20500,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2,2,1120,0,1120,1120
