CASH,NOTES_ACC_REC_NET,CURR_ASSETS_OTH,CURR_ASSETS,PROP_EQUIP_OWNED,DEPR_PROP_EQUIP,PROP_EQUIP_CAP_LS,AMORT_PR_EQ_CAP_LS,PROP_EQUIP,ASSETS_OTHER,ASSETS,NOTES_ACC_PAYABLE,ACCRUED_TAXES,CURR_LIAB_OTHER,CURR_LIABILITIES,LONG_TERM_DEBT,OTH_LIABILITIES,DEFERRED_CREDITS,PF_EQUITY,PF_SHARES_NUM,COM_EQUITY,COM_SHARES_NUM,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK,SH_HLD_EQUITY_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
142.71,1192.94,99.14,1434.80,782.39,280.83,,,501.56,828.32,2764.68,1979.89,,205.38,2185.27,1283.76,,,,,0.10,,,-704.45,-704.35,,-704.35,2764.68,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1998,4
142.92,1666.43,1072.64,2882.00,5850.39,985.73,40.64,13.79,4891.51,48.33,7821.84,482.39,,67.51,549.89,3807.39,,,,,120.42,,,3344.14,3464.55,,3464.55,7821.84,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3K,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service,06860,D,4,1,1998,4
143.30,1002.05,245.33,1390.67,19543.49,15749.14,,,3794.35,,5185.02,884.36,63.98,,948.34,,1509.34,,7944.86,,,,10612.02,-15829.54,2727.34,,2727.34,5185.02,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1997,4
143.83,2139.89,225.44,2509.16,3133.50,561.57,,,2571.93,850.19,5931.28,5011.31,204.00,544.69,5760.01,,702.21,,,,10.00,,1000.00,-1540.94,-530.94,,-530.94,5931.28,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1990,4
143.90,1970.08,410.52,2524.50,44724.92,17452.83,,,27272.09,,29796.59,1010.09,114.96,,1125.05,25586.49,1730.89,,7944.86,,,,12397.98,-18988.67,1354.17,,1354.17,29796.59,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1999,2
144.00,,324.96,468.96,5272.00,3571.72,,,1700.29,,2169.24,,,1588.56,1588.56,,,,,,1.00,,,579.68,580.68,,580.68,2169.24,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2011,2
144.71,3591.12,1360.21,5096.03,19558.95,402.88,,,19156.07,13.92,24266.02,3125.26,262.47,125.08,3512.81,,22382.86,,,,10.00,,46.04,-1685.68,-1629.65,,-1629.65,24266.02,20169,L2,Lynden Air Cargo Airlines,IH,Lynden Air Cargo Airlines,06699,D,4,1,1997,2
145.85,119.17,3472.57,3737.59,14204.19,4834.93,6518.17,3294.86,12592.57,5483.38,21813.54,2643.52,,20.15,2663.68,4766.36,,,,,1.00,,2666.82,11715.68,14383.50,,14383.50,21813.54,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2006,4
147.31,,172.23,319.54,6255.80,5221.54,,,1034.26,,1353.80,,,3893.64,3893.64,,,,,,1.00,-1.00,,-2540.84,-2540.84,,-2539.84,1353.80,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2020,4
147.81,774.00,254.66,1176.47,408.56,82.88,,,325.68,,1502.15,1218.91,125.98,,1344.89,340.67,,,1166.49,,50.00,,78.03,-1477.92,-183.41,,-183.41,1502.15,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1992,4
148.06,0.29,0.50,148.85,1088.91,546.38,,,542.53,15.60,706.97,157.65,23.29,1109.17,1290.11,,,,,,250.00,-10.00,47.05,-880.19,-583.14,,-583.14,706.97,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1994,4
148.47,545.95,261.42,955.84,1522.80,973.22,,,549.58,81.98,1587.40,483.02,4.52,87.22,574.75,357.71,,,,,0.50,,34.80,619.64,654.94,,654.94,1587.40,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1990,4
152.17,203.31,126.16,481.64,240.96,97.70,,,143.26,70.66,695.55,644.60,12.45,21.48,678.53,224.74,,,,,1.00,-1.00,,-208.72,-207.72,,-207.72,695.55,20014,ECQ,Trans American Charter,ECQ,Trans American Charter,06892,S,1,1,1993,4
153.32,2850.88,2097.75,5101.95,28650.43,14719.37,,,13931.06,350.01,19383.02,1496.97,-42.92,308.86,1762.90,20429.93,,,,,1.00,,-14828.74,12017.93,-2809.81,,-2809.81,19383.02,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,2000,2
156.00,4103.00,907.00,5166.00,3704.00,330.00,,,3374.00,805.00,9345.00,2085.00,191.00,3569.00,5845.00,3500.00,,,,,,,2530.00,-2530.00,,,,9345.00,,,,TCQ,,,S,,,2001,2
157.74,,4355.33,4513.07,11347.95,3053.91,6139.44,2865.42,11568.06,5475.23,21556.36,3410.35,,17.59,3427.94,10935.44,,,,,1.00,,1992.50,5199.47,7192.97,,7192.97,21556.36,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,1,1,2008,2
159.28,1142.69,1060.29,2362.26,2617.04,294.48,308.60,43.61,2587.56,1512.76,6462.58,3779.26,,5776.40,9555.66,,242.87,,5.64,,0.43,,6012.41,-9354.43,-3335.95,,-3335.95,6462.58,20192,NJ,Vanguard Airlines Inc.,NJ,Vanguard Airlines Inc.,06914,D,1,1,1995,2
160.56,,4355.33,4515.90,11575.49,3501.81,6139.44,3154.89,11058.23,5475.23,21049.35,3003.67,,17.59,3021.26,10001.79,,,,,1.00,,2183.50,5841.80,8026.30,,8026.30,21049.35,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,1,1,2008,4
162.21,724.25,147.60,1034.06,1430.37,399.87,,,1030.50,19.61,2084.17,338.65,,150.79,489.44,753.66,1617.02,,,,60.00,,1455.80,-2291.75,-775.95,,-775.95,2084.17,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1996,4
163.04,2058.88,3106.89,5328.80,2711.37,864.72,,,1846.66,3075.98,10251.43,5386.14,,1552.84,6938.98,,,157.50,,,9504.15,,26824.38,-33173.58,3154.95,,3154.95,10251.43,20308,WE,Centurion Cargo Inc.,WE,Centurion Cargo Inc.,16180,L,4,1,2004,4
165.60,1286.96,,1452.56,3500.00,3500.00,,,,575.49,2028.06,,153.35,43.99,197.35,,,,,,200.00,,,1690.71,1890.71,60.00,1830.71,2028.06,19065,AJ,Air Micronesia Inc.,AJ,Air Micronesia Inc.,10025,P,1,1,1990,2
168.99,917.98,138.94,1225.90,741.96,105.99,,,635.96,857.00,2718.87,908.86,6.05,573.52,1488.43,86.00,1175.28,,,,243.00,,412.33,-686.17,-30.84,,-30.84,2718.87,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,06001,S,1,1,1992,2
173.25,258.47,1710.25,2141.96,14301.32,4522.76,6089.51,985.39,14882.69,883.85,17908.50,10397.98,8.94,1008.17,11415.08,11577.33,194.15,,,,1.00,,416.99,-5696.06,-5278.07,,-5278.07,17908.50,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06038,S,4,1,2003,2
173.94,2031.54,547.78,2753.26,2031.05,1275.58,,,755.47,,3508.73,682.19,45.63,1700.73,2428.55,64.17,,,667.96,,50.00,,78.03,220.03,1016.01,,1016.01,3508.73,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1995,4
175.13,204.71,848.27,1228.10,10045.02,570.44,,,9474.59,119.73,10822.42,3483.61,171.00,131.21,3785.82,4387.72,358.33,,,,2.00,,12183.35,-9894.81,2290.54,,2290.54,10822.42,20097,OI,Prestige Airways,OI,Prestige Airways,06753,D,1,1,1997,2
176.39,338.66,15.40,530.45,1.19,0.95,,,0.24,522.77,1053.45,346.80,2.16,156.95,505.91,531.64,,,,,1.00,,,,14.90,,14.90,1053.45,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1992,4
177.18,144.39,193.49,515.06,1666.70,50.98,,,1615.71,4073.90,6204.67,2182.94,,117.17,2300.11,272.55,1135.97,,,,370.00,,5208.90,-3082.86,2496.04,,2496.04,6204.67,20220,A7 (1),Air 21,A7,Air 21,06036,D,1,1,1996,2
178.00,,129.27,307.27,3557.59,2417.59,,,1140.00,,1447.26,,,706.91,706.91,,,,,,1.00,,,739.35,740.35,,740.35,1447.26,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2010,2
178.62,59.00,3051.49,3289.11,85.04,,,,85.04,51.82,3425.98,521.97,,4477.56,4999.53,,,,,,300.00,,,-1873.55,-1573.55,,-1573.55,3425.98,20102,SFQ,Pacific International Airlines Inc.,SFQ,Sportsflight Airways Inc.,06824,S,1,1,1995,4
180.75,297.90,502.53,981.17,1248.48,254.53,,,993.96,582.29,2557.42,1443.21,1090.22,4887.20,7420.63,491.30,,,5.00,,14.78,,7360.22,-12734.51,-5354.51,,-5354.51,2557.42,20412,N5 (1),Nations Air Express Inc.,N5,Nations Air Express Inc.,06733,D,1,1,1996,4
182.41,1344.01,563.72,2090.14,15314.07,13194.35,,,2119.71,,4209.86,586.46,0.18,-33.10,553.54,,8659.04,,7944.86,,,,,-12947.59,-5002.72,,-5002.72,4209.86,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1995,2
186.53,21.83,4392.32,4600.67,11607.32,4010.78,7058.91,2558.56,12096.90,5475.23,22172.79,2954.69,,17.96,2972.66,10407.68,,,,,1.00,,1992.51,6798.95,8792.46,,8792.46,22172.79,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2007,4
186.80,578.10,148.64,913.54,6792.77,2513.13,,,4279.64,0.00,5193.18,382.34,,87.85,470.18,,,,,,0.10,,4503.42,219.47,4722.99,,4722.99,5193.18,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06853,D,4,1,2003,2
187.34,3135.96,1107.14,4430.43,4443.70,1906.72,,,2536.98,-97.27,6870.14,1965.75,449.29,2238.09,4653.12,1102.30,,597.31,,,183.10,,,334.31,517.40,,517.40,6870.14,20263,EM,Empire Airlines Inc.,EM,Empire Airlines Inc.,06299,S,1,1,1993,4
187.78,179.31,1007.84,1374.93,2155.92,518.87,1112.21,303.90,2445.37,18.55,3838.84,1149.85,18.35,,1168.20,1919.09,,,,,60.00,-60.00,6768.01,-6076.45,751.56,,751.56,3838.84,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1999,2
188.08,2179.37,,2367.45,60.75,13.00,,,47.75,315.84,2731.04,84.60,4.64,113.81,203.06,,1695.66,,,,75.00,,,757.33,832.33,,832.33,2731.04,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,06911 (1),S,4,1,1995,2
188.39,1789.63,736.26,2714.27,5679.55,751.97,34.07,9.09,4952.56,28.33,7695.17,887.05,,755.92,1642.96,3244.99,,,,,120.42,,,2686.80,2807.22,,2807.22,7695.17,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3K,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service,06860,D,4,1,1998,2
194.02,4848.30,,5042.32,145.00,,145.00,,290.00,540.00,5872.32,1420.20,1278.95,,2699.14,759.99,,,,,,,485.28,1915.29,,,2413.19,5872.32,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2012,2
198.00,4746.00,435.00,5379.00,3339.00,1320.00,,,2019.00,3837.00,11235.00,4730.00,,4050.00,8780.00,12.00,5189.00,,,,105.00,-15.00,3915.00,-6766.00,-2746.00,,-2746.00,11235.00,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,06840,S,1,1,2001,4
199.07,873.68,1358.76,2431.51,3412.56,949.97,,,2462.59,334.12,5228.22,17826.69,,2139.41,19966.10,,,,0.06,-5.45,9.03,-901.02,7470.91,-22216.73,-14736.73,1.15,-14737.88,5228.22,20420,RL,UltrAir,RL,UltrAir,06037,S,1,1,1994,2
201.37,243.33,411.84,856.54,207.33,58.09,,,149.24,3517.41,4523.19,1525.50,,706.16,2231.66,2302.38,5522.62,,,,201.00,-100.00,,-5734.46,-5533.46,,-5533.46,4523.19,20020,V9,Eagle Airlines,V9,Eagle Airlines,06279,S,1,1,1994,4
201.64,72.32,1821.42,2095.38,10095.44,5228.31,6278.17,1980.08,9165.22,285.59,11546.18,5583.10,,153.58,5736.68,3660.28,4448.91,,,,1.00,,450.99,-2751.67,-2299.68,,-2299.68,11546.18,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2005,4
201.91,789.01,962.17,1953.09,762.42,519.69,225.56,181.02,287.26,,2240.35,482.66,69.11,,551.78,2077.90,,,,,60.00,,4748.88,-5198.21,-389.33,,-389.33,2240.35,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1998,2
205.67,1532.91,305.62,2044.21,19599.90,16365.50,,,3234.40,,5278.60,342.31,48.13,,390.44,,2105.76,,7944.86,,,,11173.42,-16335.88,2782.40,,2782.40,5278.60,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1998,2
208.43,,268.91,477.34,5747.71,4507.69,,,1240.02,,1717.36,,,5715.53,5715.53,,,,,,1.00,-1.00,,-3999.17,-3998.17,,-3998.17,1717.36,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2023,4
209.08,329.31,624.78,1163.16,1547.74,326.64,,,1221.10,582.29,2966.55,1291.18,1110.19,4928.91,7330.28,635.58,,,5.00,,14.78,,7360.22,-12379.31,-4999.31,,-4999.31,2966.55,20412,N5 (1),Nations Air Express Inc.,N5,Nations Air Express Inc.,06733,D,1,1,1997,2
210.00,,171.51,381.51,6626.13,5508.96,,,1117.17,,1498.68,,,3131.95,3131.95,,,,,,1.00,-1.00,,-1632.27,-1632.27,,-1633.27,1498.68,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2017,2
210.86,2860.58,212.73,3284.16,34015.01,3878.21,,,30136.80,13.92,33434.88,2393.54,74.96,2739.10,5207.60,,35640.33,1.00,,,,,,-7414.04,-7414.04,,-7414.04,33434.88,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,4,1,1998,2
211.06,3506.09,956.52,4673.68,588.10,54.44,,,533.66,1311.14,6518.47,2172.54,,-450.87,1721.68,,52.06,,,,1.00,-0.10,,4743.74,4744.74,,4744.74,6518.47,20302,KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,06687,S,1,1,1994,2
212.26,229.68,619.24,1061.18,249.22,32.79,,,216.43,3454.32,4731.93,1763.59,79.53,1754.07,3597.20,5743.93,,434.05,,,0.01,-0.01,200.99,-5244.25,-5043.25,,-5043.25,4731.93,20020,V9,Eagle Airlines,V9,Eagle Airlines,06279,S,1,1,1994,2
215.31,,170.74,386.05,6428.12,5763.76,,,664.36,,1050.41,,,3705.13,3705.13,,,,,,1.00,-1.00,,-2655.72,-2654.72,,-2654.72,1050.41,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2021,2
215.52,173.11,306.66,695.29,15456.91,6966.90,,,8490.01,0.04,9185.34,464.67,38.25,130.01,632.92,,1523.14,4222.19,,,,,7944.86,-5137.76,2807.10,632.93,2807.10,9185.34,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06143,S,4,1,1992,2
216.95,213.60,473.65,904.19,173.25,66.31,0.00,0.00,106.94,201.15,1212.28,3338.15,0.00,-56.64,3281.51,0.00,0.00,0.00,0.00,,0.00,,17072.63,-19141.87,-2069.24,0.00,-2069.24,1212.28,21631,20Q,Orange Air,20Q,Orange Air,01184,D,4,1,2015,2
223.99,316.17,1405.30,1945.46,6792.77,2736.91,,,4055.86,0.00,6001.32,1088.92,,261.55,1350.47,,,,,,0.10,,5076.70,-425.95,4650.85,,4650.85,6001.32,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06853,D,4,1,2003,4
225.59,2318.68,181.30,2725.56,1.19,0.95,,,0.24,11.63,2737.43,1764.08,9.84,156.95,1930.86,493.84,,,,,1.00,-1.00,,311.73,312.73,,312.73,2737.43,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1993,2
228.02,46.30,579.28,853.60,359.53,58.39,,,301.14,,1154.74,164.82,109.84,22.90,297.55,500.00,70.51,,,,250.00,,427.69,-391.01,286.68,,286.68,1154.74,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1993,2
230.29,528.19,479.56,1238.05,10451.35,645.95,,,9805.39,880.59,11924.03,998.54,,1652.79,2651.33,5641.39,343.98,,,,,,3189.54,97.80,3287.34,,3287.34,11924.03,20370,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,06683,D,4,1,2001,2
231.05,,673.83,904.88,4304.82,2857.14,,,1447.69,,2352.57,,,1425.27,1425.27,,,,,,1.00,,,926.30,927.30,,927.30,2352.57,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2010,4
233.04,2169.73,746.90,3149.67,2232.03,1550.58,,,681.46,,3831.12,1690.71,27.54,1119.65,2837.89,62.17,,,616.42,,50.00,,78.03,186.62,931.07,,931.07,3831.12,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1996,2
240.68,,207.18,447.86,5747.71,4867.01,,,880.70,,1328.56,,,7075.18,7075.18,,,,,,1.00,-1.00,,-5747.63,-5747.63,,-5746.63,1328.56,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2024,2
241.00,,239.31,480.31,7135.89,3744.26,,,3391.63,,3871.94,,,4554.92,4554.92,,,,,,1.00,-1.00,,-683.97,-683.97,,-682.97,3871.94,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2015,2
242.72,11849.03,,12091.75,37.40,,145.00,,182.40,3823.07,16097.21,4499.18,3964.47,,8463.65,585.40,,,,,,,1578.96,5256.82,6835.77,-212.39,7048.17,16097.21,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2013,4
243.88,712.31,116.00,1072.19,39.48,14.69,11.05,1.59,34.25,,1106.44,511.47,10.38,,521.85,435.73,,156.19,1295.74,,50.00,,78.03,-1431.09,-7.33,,-7.33,1106.44,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1991,2
244.48,2777.69,,3022.17,100.00,,,,100.00,330.00,3452.17,587.76,432.84,,1020.60,739.85,,,,,,,516.44,1175.27,1691.71,,1691.71,3452.17,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2009,4
244.56,,178.76,423.32,5850.52,2623.15,,,3227.37,,3650.69,,,2119.64,2119.64,,,,,,1.00,,,1530.06,1531.06,,1531.06,3650.69,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2006,2
248.05,427.21,599.77,1275.03,1539.01,159.77,,,1379.23,2535.95,5190.21,2611.80,,84.39,2696.19,,568.04,,,,1.00,-1.00,4082.00,-2157.02,1925.98,,1925.98,5190.21,20271,WNQ,Winair Inc.,WNQ,Winair Inc.,06927 (1),D,1,1,1998,2
253.01,882.31,230.96,1366.28,4282.27,1198.24,,,3084.03,93.48,4543.79,4728.16,74.57,376.17,5178.89,,766.21,,,,10.00,,1000.00,-2411.30,-1401.30,,-1401.30,4543.79,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1991,2
253.29,1969.53,3217.25,5440.06,364.37,300.07,,,64.30,,5504.37,772.76,0.00,369.27,1142.02,397.75,,,,,2000.00,,1731.32,233.27,3964.59,,3964.59,5504.37,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2020,4
254.32,74.73,1822.17,2151.21,10095.44,4454.22,6278.17,1980.08,9939.31,374.16,12464.68,6160.93,,116.28,6277.21,17799.83,774.31,,,,1.00,,416.99,-12804.66,-12386.67,,-12386.67,12464.68,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2005,2
267.04,308.41,663.07,1238.52,359.86,,,,359.86,711.12,2309.50,1636.43,,528.93,2165.35,,851.25,,,,0.10,,-833.16,125.96,-707.11,,-707.11,2309.50,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1997,2
270.02,3134.23,60.80,3465.04,79.37,19.99,,,59.39,3.61,3528.04,1393.62,-0.06,127.65,1521.21,201.92,,,,,1.00,-1.00,,1803.91,1804.91,,1804.91,3528.04,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1994,2
270.02,3907.41,60.80,4238.23,79.37,19.99,,,59.39,3.61,4301.22,3393.56,,127.65,3521.21,201.92,,,,,1.00,-1.00,,577.10,578.10,,578.10,4301.22,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1994,4
271.02,215.22,521.70,1007.93,140.51,14.60,,,125.91,1025.97,2159.81,4405.30,33.72,75.55,4514.57,,441.31,,,,0.10,,1750.00,-4546.17,-2796.07,,-2796.07,2159.81,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06852,S,4,1,1997,2
273.38,6880.38,15.34,7169.11,320.49,38.46,28.70,5.01,305.72,1547.30,9022.13,5508.47,19.32,3596.27,9124.05,1135.00,,,,,0.01,-1.00,599.99,-1836.93,-1236.93,,-1236.93,9022.13,20149,PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,06746,S,4,1,1996,4
275.00,6233.00,604.00,7112.00,2908.00,783.00,,,2125.00,4228.00,13465.00,1600.00,,1985.00,3585.00,13.00,10365.00,,,,105.00,,,-603.00,-498.00,,-498.00,13465.00,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,06840,S,1,1,2001,2
278.03,8764.83,,9042.86,102.30,,145.00,,247.30,1020.91,10558.37,2839.23,2413.37,,5252.60,822.50,,,,,,,3000.00,1483.27,,,5305.76,10558.37,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2013,2
282.66,503.44,17.81,803.90,,,,,,40.00,843.90,619.85,,382.41,1002.26,,,,,,,,140.00,-298.35,-158.35,,-158.35,843.90,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2004,2
283.25,25647.07,59605.83,85536.16,,,,,,87313.19,172849.35,11628.39,-1477.97,12573.27,22723.70,99188.74,94.09,3159.94,1.37,,,,48147.14,-465.63,47682.88,,47682.88,172849.35,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06765,D,4,1,2000,2
283.53,564.70,454.60,1302.83,114.38,15.66,,,98.72,6430.21,7831.75,459.13,,366.34,825.47,1260.58,,,,,7753.08,-1.50,,-2007.38,5745.70,,5745.70,7831.75,20299,JX (2),Southeast Airlines,JX,Southeast Airlines,06850,D,4,1,1999,4
284.11,715.99,74.27,1074.38,2432.34,216.80,,,2215.54,805.98,4095.89,1518.73,133.58,990.07,2642.37,,,,,,2.00,-2.00,7902.64,-6451.11,1453.52,,1453.52,4095.89,20368,G4,Allegiant Air,G4,Allegiant Air,06035,D,4,1,2000,2
288.00,,144.01,432.01,4781.78,3596.21,,,1185.57,,1617.59,,,1641.71,1641.71,,,,,,1.00,-1.00,,-24.12,-24.12,,-24.12,1617.59,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2018,2
288.34,2105.77,950.57,3344.68,4724.86,2073.02,,,2651.84,-24.10,5972.42,1454.68,420.23,1570.81,3445.72,1042.51,,590.66,,,275.93,-646.14,,617.61,893.54,,893.54,5972.42,20263,EM,Empire Airlines Inc.,EM,Empire Airlines Inc.,06299,S,1,1,1993,2
289.32,1896.30,653.67,2839.29,56241.53,48604.92,,,7636.61,2281.30,12757.19,3703.50,297.80,0.17,4001.46,4155.48,,2055.00,,,45.00,,,2500.25,2545.25,,2545.25,12757.19,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,4,1,2004,4
293.31,589.37,229.83,1112.51,150.40,5.00,,,145.40,777.24,2035.16,246.68,7.42,543.53,797.63,1985.00,,,,,0.01,-1.00,599.99,-1347.47,-747.47,,-747.47,2035.16,20149,PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,06746,S,4,1,1996,2
293.66,534.00,485.90,1313.57,347.79,323.99,0.00,0.00,23.80,0.00,1337.36,8142.10,1739.98,1832.54,11714.63,3000.00,0.00,0.00,0.00,,0.00,,-511.65,-12865.61,-13377.26,0.00,-13377.26,1337.36,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC",01130,D,4,1,2013,2
294.11,7.04,32.65,333.80,236.46,15.00,,,221.46,,555.26,110.25,15.38,100.47,226.10,,,,,,2.00,,1480.42,-1153.25,329.17,,329.17,555.26,20368,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1,1,1998,4
299.20,6894.58,3728.06,10921.84,7821.60,3211.21,145.89,41.68,4714.60,4456.30,20092.74,5415.27,1007.14,3074.16,9496.57,152.97,,,9503.00,,4.60,,,935.60,10443.20,,10443.20,20092.74,20308,WE,Centurion Cargo Inc.,WE,Challenge Air Cargo Inc.,16180,L,1,1,1990,2
299.25,645.12,803.67,1748.04,50.62,7.89,,,42.73,471.17,2261.94,1435.70,28.95,234.44,1699.09,,,,,,,,187.77,375.07,562.84,,562.84,2261.94,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,1997,2
303.69,3780.69,2232.38,6316.76,28236.55,13153.27,,,15083.28,206.49,21606.53,1251.71,-67.27,249.88,1434.31,21658.23,,,,,1.00,,-13456.35,12135.27,-1320.08,165.93,-1486.01,21606.53,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,1999,4
314.59,140.67,668.03,1123.28,124.74,43.44,,,81.30,1639.09,2843.67,506.46,,1832.36,2338.82,,2468.18,,,,300.00,,,-2263.32,-1963.32,,-1963.32,2843.67,20102,SFQ,Pacific International Airlines Inc.,SFQ,Pacific International Airlines Inc.,06824,S,1,1,1996,2
324.81,121.95,1017.09,1463.86,278.58,64.11,,,214.46,1085.22,2763.54,1950.86,,872.96,2823.82,1287.50,,304.72,,,0.18,,1062.32,-2694.17,-1631.67,20.83,-1652.51,2763.54,20125,PNQ,Panagra Airways,PNQ,Panagra Airways,06767,S,1,1,1998,2
325.56,204.96,245.64,776.16,388.84,191.63,,,197.21,44.48,1017.86,7.76,,69.73,77.50,189.42,,,,,0.40,,1080.97,-330.43,750.94,,750.94,1017.86,20365,CZQ,Aviation Concepts,CZQ,Aviation Concepts,06045,S,4,1,2004,4
