CASH,NOTES_ACC_REC_NET,CURR_ASSETS_OTH,CURR_ASSETS,PROP_EQUIP_OWNED,DEPR_PROP_EQUIP,PROP_EQUIP_CAP_LS,AMORT_PR_EQ_CAP_LS,PROP_EQUIP,ASSETS_OTHER,ASSETS,NOTES_ACC_PAYABLE,ACCRUED_TAXES,CURR_LIAB_OTHER,CURR_LIABILITIES,LONG_TERM_DEBT,OTH_LIABILITIES,DEFERRED_CREDITS,PF_EQUITY,PF_SHARES_NUM,COM_EQUITY,COM_SHARES_NUM,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK,SH_HLD_EQUITY_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
64.10,130.33,330.39,524.82,19399.57,14198.92,,,5200.65,,5725.46,694.24,53.52,49.29,797.05,,1068.78,,,,7944.86,,8990.10,-13075.33,3859.64,,3859.64,5725.46,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1996,4
65.23,2025.43,773.11,2863.77,2224.80,1730.58,,,494.22,,3357.99,1621.72,16.30,215.44,1853.47,53.17,500.00,,566.12,,50.00,,78.03,257.21,951.35,,951.35,3357.99,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1996,4
65.55,1464.59,789.88,2320.01,8401.51,549.40,2525.00,21.04,10356.07,120.76,12796.84,2121.56,452.22,9819.83,12393.60,5940.56,,,,,2.00,,1092.93,-6632.24,-5537.32,,-5537.32,12796.84,20097,OI,Prestige Airways,OI,Prestige Airways,06753,D,1,1,1996,4
67.03,1100.08,20.38,1187.49,,,,,,40.00,1227.49,874.00,,253.04,1127.05,,,,,,,,140.00,-39.56,100.44,,100.44,1227.49,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2005,2
67.53,443.64,0.88,512.04,690.98,328.70,,,362.29,860.29,1734.61,3517.63,,40.91,3558.54,,,5.00,,,243.00,,462.33,-2534.25,-1828.93,,-1828.93,1734.61,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,06001,S,1,1,1993,4
67.58,58.42,33.08,159.07,1519.26,378.50,,,1140.76,11.00,1310.82,225.56,39.81,,265.37,,106.00,,,,250.00,,868.67,-179.22,939.45,,939.45,1310.82,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1993,4
68.28,2848.17,4835.46,7751.91,1568.44,352.48,,,1215.96,0.00,8967.87,7046.44,,2751.40,9797.83,120.00,8290.07,,,,1.00,,557.24,-9798.27,-9240.03,,-9240.03,8967.87,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",06077,S,4,1,2014,2
71.32,312.91,16.27,400.50,122.69,10.91,1067.23,214.96,964.05,327.20,1691.74,415.03,,678.02,1093.06,472.63,,,,,0.10,,,125.96,126.06,,126.06,1691.74,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1996,4
73.03,259.44,1230.29,1562.76,2078.86,158.57,,,1920.29,2376.04,5859.09,1676.55,,1185.75,2862.30,5340.00,,,,,3573.40,,,-5916.61,-2343.21,,-2343.21,5859.09,20129,1I,Sky Trek International Airlines,1I,Sky Trek International Airlines,06802,D,1,1,1998,2
73.65,75.45,436.47,585.57,11544.91,5799.73,3339.44,1629.51,7455.12,10.79,8051.48,3930.84,,165.57,4096.40,4380.47,3086.05,,,,1.00,,529.95,-4042.39,-3511.45,,-3511.45,8051.48,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06038,S,4,1,2006,2
