NET_INCOME,OP_PROFIT,OP_REVENUE_SCH_PAX,OP_REVENUE_SCH_OTH,OP_REVENUE_NON_SCH,OP_REVENUE_PUB_SVC,OP_REVENUE_OTHER,OP_REVENUE,OP_EXPENSE_FLYING,OP_EXPENSE_MAINT,OP_EXPENSE_ADMIN,DEPR_PR_EQ_OWNED,DEPR_PR_EQ_LEASED,TRANS_EXPENSE,OP_EXPENSE,NON_OP_INT_EXP,NON_OP_EXP_OTH,TAX,EXTRA_ITEMS,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-469.67,-117.34,,,5767.24,0.00,0.00,5767.24,4290.19,1341.50,245.93,4.14,0.00,2.82,5884.58,-9.01,-343.32,0.00,0.00,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,01207,S,4,1,2016,4
-455.23,-424.92,,,1214.92,,87.86,1302.78,692.34,340.46,438.73,72.47,183.69,,1727.70,-1.75,-28.56,,,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1999,4
-444.52,192.77,,,9789.11,,,9789.11,2696.86,4964.36,1935.12,,,,9596.34,-329.10,-308.19,,,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,4,1,2000,4
-443.30,-443.30,7629.67,,678.97,,38.56,8347.21,3162.89,2272.37,2450.01,905.24,,,8790.51,,,,,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1998,2
-436.29,1848.05,7.71,,18005.73,,113.59,18127.03,7610.74,2604.96,5156.07,761.41,,145.81,16278.99,-667.87,-1602.28,14.19,,19787,FDQ,Great American Airways,FDQ,Great American Airways,06549,S,1,1,1995,4
-426.09,-120.78,,,5719.22,,,5719.22,2955.20,1096.80,1298.59,,489.39,,5839.99,-308.15,2.83,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,2001,2
-422.45,-422.45,8951.50,,,,50.48,9001.98,3984.06,1959.45,2626.05,854.86,,,9424.43,,,,,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1997,2
-419.56,-413.30,,17909.68,,0.00,-247.63,17662.05,12947.12,2740.95,2399.56,-12.28,0.00,0.00,18075.35,-20.52,14.26,0.00,0.00,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,01207,S,4,1,2021,4
-418.36,-403.88,,,3300.42,,,3300.42,1410.59,677.25,776.47,,840.00,,3704.30,-14.48,,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,1999,4
-415.23,-380.98,,385.41,3846.30,,,4231.71,2369.62,973.47,1214.09,55.52,,0.00,4612.69,-34.25,0.00,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",06077,S,4,1,2011,4
-410.86,-410.86,6907.60,,96.21,,39.47,7043.28,3866.11,1167.63,1583.68,836.72,,,7454.13,,,,,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1996,4
-409.03,-396.88,,,6019.22,,,6019.22,4071.36,1410.61,934.13,,,,6416.10,-12.15,,,,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1992,2
-404.77,-404.77,5208.89,,1379.85,,71.15,6659.90,2414.88,1511.93,2380.65,757.21,,,7064.67,,,,,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1998,4
-402.71,-772.88,,,3521.79,,0.00,3521.79,2216.26,515.43,1545.07,17.91,0.00,0.00,4294.67,-7.46,377.62,0.00,0.00,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2020,2
-401.80,-316.90,,,11659.26,,,11659.26,7354.84,2893.84,1505.73,221.75,,,11976.16,-121.86,36.96,,,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1990,2
-398.61,-463.74,,910.86,6310.33,,,7221.19,4723.04,325.61,1401.24,,1235.03,,7684.92,,65.12,,,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2006,4
-396.27,-396.27,,,490.88,,,490.88,258.99,,628.17,,,,887.15,,,,,20406,BNQ,NetJets Large Aircraft Company L.L.C.,BNQ,BNJ Charter Company,06041,S,4,1,2002,4
-389.54,-129.56,,,3717.39,,99.22,3816.61,3155.14,109.52,681.51,,,,3946.17,,-265.05,,5.06,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1996,2
-387.68,-361.32,,,5324.25,,,5324.25,2567.10,1400.91,1111.73,605.83,,,5685.56,11.83,-10.19,28.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2020,4
-373.71,-395.29,,429.59,4742.13,,,5171.72,3097.62,438.16,1073.43,,957.80,,5567.01,,21.58,,,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2008,4
-371.88,-371.88,,,1430.92,,,1430.92,1130.94,387.27,284.59,,,,1802.80,,,,,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,1996,2
-362.06,-2351.22,5680.29,,899.33,,12.72,6592.34,3223.27,1308.82,4341.51,69.97,,,8943.57,,1802.65,-186.52,,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1,1,1993,2
-358.67,-358.67,,,140.03,,,140.03,138.95,116.12,243.62,,,,498.70,,,,,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2000,2
-356.48,-377.06,,,6248.12,,32.53,6280.64,2387.05,1484.50,2714.40,51.34,,20.42,6657.71,-22.33,42.91,,,19787,FDQ,Great American Airways,FDQ,Great American Airways,06549,S,1,1,1993,4
-352.68,-198.67,,,17580.86,,,17580.86,9567.68,1740.55,6263.56,207.74,,,17779.52,-166.45,12.44,,,20050,WA,Worldwide Airlines Services,WA,Worldwide Airlines Services,06945,S,1,1,1993,2
-350.90,-293.11,,2210.76,538.58,,595.60,3344.93,1806.84,108.47,1717.83,72.81,,-67.89,3638.05,,-57.79,,,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,06001,S,1,1,1992,4
-346.61,-346.61,,,3886.14,,,3886.14,1935.15,1455.57,127.45,714.58,,,4232.75,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2011,2
-346.44,430.25,,,9582.95,,80.30,9663.25,5249.03,1821.88,1023.64,1138.44,,,9233.00,-684.38,391.32,483.63,,20399,PLQ,Planet Airways,PLQ,Planet Airways,06777,S,4,1,2001,4
-331.80,-420.78,,20.71,863.74,,7955.36,8839.82,241.31,265.10,250.12,57.00,,8447.07,9260.60,88.98,,,,20387,PN,Pan American Airways Corp.,PA,Pan American World Airways,06749,S,4,1,1998,4
-317.29,-317.29,,,7523.94,,,7523.94,5981.16,733.57,1102.64,23.85,,,7841.23,,,,,20102,SFQ,Pacific International Airlines Inc.,SFQ,Pacific International Airlines Inc.,06824,S,1,1,1996,2
-311.97,-22.06,,,6.19,,,6.19,28.25,,,,,,28.25,-4.92,-501.95,,216.96,20020,V9,Eagle Airlines,V9,Eagle Airlines,06279,S,1,1,1993,2
-309.95,-309.95,,,171.06,,,171.06,265.16,123.71,92.15,,,,481.01,,,,,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2001,2
-309.95,-309.95,,,171.06,,,171.06,265.16,123.71,92.15,,,,481.01,,,,,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2002,2
-305.74,-531.78,,,4938.14,,2.18,4940.32,3119.27,1718.44,236.12,398.28,,,5472.11,62.04,,-164.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2009,2
-303.62,-264.10,,,5669.88,,40.01,5709.89,3406.87,1485.59,1231.38,-183.17,33.32,,5973.99,-12.53,,26.99,,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,1997,4
-302.05,473.31,,,4161.25,,,4161.25,1443.54,1230.01,564.39,,450.00,,3687.94,-13.57,,-38.22,-800.00,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2007,4
-300.88,-171.29,,,8650.50,,,8650.50,5078.66,2619.49,874.76,248.88,,,8821.79,-172.68,43.09,,,20400,PT (1),Capital Cargo International,CCQ,Capital Cargo International,06164,S,4,1,1998,2
-286.74,8.22,,,5006.82,,,5006.82,1616.95,1776.21,705.23,,900.21,,4998.60,66.82,,-38.22,-400.00,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2009,4
-284.45,-129.46,,,2537.49,,,2537.49,986.52,983.07,697.36,,,,2666.95,-154.99,,,,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,4,1,2004,4
-279.87,-294.93,,,893.00,,,893.00,502.17,420.80,246.97,18.00,,,1187.93,-25.23,39.78,,0.50,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1998,2
-279.58,-494.94,,,5030.93,,23.47,5054.40,2539.43,1222.65,1092.14,695.12,,,5549.34,13.06,,-202.30,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2007,2
-271.84,-108.29,,,6220.91,,,6220.91,2632.69,1538.91,1685.03,,472.58,,6329.20,-5.68,-157.87,,,20405,N8,National Air Cargo Group Inc d/ba National Airlines,MRQ,Murray Air,07029,D,4,1,2006,2
-265.24,-420.71,,,4281.28,,0.00,4281.28,2662.63,617.49,1405.99,15.88,0.00,0.00,4701.99,-5.11,164.70,4.11,0.00,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2019,4
-261.07,-422.38,1610.43,,,,,1610.43,883.65,584.73,511.93,52.50,,,2032.81,-10.90,153.64,,18.57,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1994,2
-260.99,-365.07,,,3833.13,,,3833.13,2121.18,991.73,965.71,72.49,47.10,,4198.20,,104.08,,,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1997,2
-250.98,-250.98,,,6627.20,,,6627.20,3688.61,1528.74,1114.74,363.10,183.00,,6878.18,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2022,4
-246.74,-428.20,,,2425.63,,,2425.63,1406.13,746.20,660.66,40.83,,,2853.83,-28.28,209.74,,,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1991,2
-245.75,1574.76,,,,,72267.81,72267.81,345.10,,69066.73,,1281.22,,70693.05,-1743.10,36.10,113.51,,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,1999,4
-243.99,-249.99,,,7137.79,,,7137.79,3832.18,1435.30,1749.32,204.02,166.97,,7387.79,,6.00,,,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2010,2
-237.59,-172.24,,,1076.58,,,1076.58,1166.92,1.10,80.33,0.48,,,1248.82,-37.92,-27.42,,,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1992,4
-232.21,-232.21,,,564.62,,,564.62,89.60,172.07,416.29,,118.87,,796.83,,,,,20014,ECQ,Trans American Charter,ECQ,Trans American Charter,06892,S,1,1,1993,4
-231.11,-529.48,,,4738.25,,0.00,4738.25,3135.53,803.90,1319.39,8.91,0.00,0.00,5267.73,-3.58,301.96,0.00,0.00,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2016,4
-228.22,-220.31,,,560.38,,165.10,725.48,407.80,207.04,149.13,,15.95,165.87,945.79,,-7.91,,,20400,PT (1),Capital Cargo International,CCQ,Capital Cargo International,06164,S,4,1,1996,2
-226.22,-441.68,,,853.03,,,853.03,335.64,545.35,394.73,19.00,,,1294.72,-6.31,216.68,,5.09,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1996,2
-222.74,-137.25,769.24,,2796.97,,7.65,3573.85,1135.47,547.57,1518.24,119.83,390.00,,3711.11,-90.10,4.62,,,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06852,S,4,1,1998,4
-220.65,-183.02,,,3807.77,,16.34,3824.11,1410.84,1042.14,1522.64,26.42,,5.10,4007.13,-68.31,30.68,,,19787,FDQ,Great American Airways,FDQ,Great American Airways,06549,S,1,1,1992,4
-203.88,-199.64,,,305.77,,,305.77,273.06,162.03,58.08,,,12.24,505.41,-4.24,,,,20377,X9,Omni Air International LLC,X9,Omni Air Express,06736,S,1,1,1993,2
-200.09,876.44,,,5615.18,,,5615.18,3073.19,1122.54,220.78,197.26,124.97,,4738.74,-278.02,-80.77,,-717.75,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2002,4
-199.31,-199.31,,820.18,1309.96,,284.68,2414.82,1467.62,733.62,327.25,85.64,,,2614.13,,,,,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,06001,S,1,1,1990,4
-191.21,406.06,,,10407.49,,,10407.49,4815.83,3379.82,1114.49,691.28,,,10001.43,-685.25,87.99,,,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,1999,2
-190.88,-162.54,,,1458.63,,,1458.63,277.10,57.52,611.62,53.16,600.00,21.77,1621.17,-28.34,,,,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1993,2
-189.67,-450.20,,,1160.50,,,1160.50,565.44,539.40,469.85,36.00,,,1610.70,-11.72,220.99,,51.26,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1995,4
-188.22,-188.22,,,,,1449.01,1449.01,860.58,397.44,379.21,,,,1637.23,,,,,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1997,2
-181.19,-199.78,,,3642.20,,168.97,3811.17,1565.04,883.35,675.33,222.23,665.00,,4010.95,32.59,-14.00,,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,1995,4
-172.05,-332.23,,,4994.05,,,4994.05,2826.16,1604.59,551.47,344.07,,0.00,5326.28,45.18,,-115.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2010,4
-166.50,-166.50,,,1428.56,,0.50,1429.06,340.27,264.43,428.63,,562.23,,1595.56,,,,,20299,JX (2),Southeast Airlines,JX,Southeast Airlines,06850,D,4,1,1999,2
-164.06,117.09,,,6516.25,,,6516.25,3442.15,1427.00,509.55,311.26,709.20,,6399.16,-281.15,,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,2002,2
-163.18,-306.97,,,5142.65,,,5142.65,3507.87,1240.06,629.82,71.87,,,5449.62,9.91,0.58,-133.30,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2012,2
-162.16,-162.16,,,192.05,,,192.05,79.57,12.53,91.20,,150.00,20.91,354.21,,,,,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1992,2
-162.06,2576.14,,,104946.45,,,104946.45,1914.07,751.24,98124.59,,1580.42,,102370.32,-3051.29,68.50,-244.60,,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06765,D,4,1,2000,2
-159.79,-169.08,,1748.23,,,453.73,2201.97,1235.18,25.66,984.13,61.86,,64.21,2371.04,-3.35,12.63,,,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,06001,S,1,1,1993,2
-154.31,-154.31,,,202.22,,,202.22,116.80,4.83,234.91,,,,356.54,,,,,20102,SFQ,Pacific International Airlines Inc.,SFQ,Sportsflight Airways Inc.,06824,S,1,1,1994,2
-147.82,-75.84,,,6646.51,,2191.88,8838.39,3150.71,1422.65,2510.65,56.56,5.45,1768.22,8914.23,-55.54,-16.44,,,20146,SPQ,Sun Pacific International,SPQ,Sun Pacific International,06796,S,4,1,1996,4
-146.48,-294.32,,,2928.69,,,2928.69,1679.47,856.43,630.11,57.00,,,3223.01,-35.60,183.44,,,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1990,2
-142.00,-60.80,,6212.08,1485.76,368.71,213.42,8279.97,864.08,552.99,198.14,211.79,,6513.77,8340.76,10.79,,92.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,1993,2
-136.04,-136.04,,,5350.84,,,5350.84,2197.92,1829.88,888.98,387.10,183.00,,5486.88,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2023,2
-133.60,-128.16,,,3.00,,-28.85,-25.85,36.00,42.06,12.95,,,11.30,102.31,-5.44,,,,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06564,S,4,1,2001,4
-126.70,-9.79,0.00,0.00,16050.25,0.00,837.45,16887.69,11577.63,3428.28,1891.56,0.00,0.00,0.00,16897.48,-43.81,-73.10,0.00,0.00,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC",01130,D,4,1,2014,2
-126.58,-213.41,,,3172.44,,,3172.44,961.58,1435.00,323.94,665.33,,,3385.85,-67.13,153.96,,,20377,X9,Omni Air International LLC,X9,Omni Air Express,06736,S,1,1,1996,2
-123.35,-128.41,,,212.87,,162.85,375.72,478.71,,25.42,,,,504.13,5.06,,,,20382,VCQ,Victory Air Transport Inc.,VCQ,Victory Air Transport Inc.,07025,D,4,1,2007,2
-119.28,-65.14,,,2600.63,,1.55,2602.19,1416.72,1040.59,210.02,,,,2667.33,-54.14,,,,20399,PLQ,Planet Airways,PLQ,Planet Airways,06777,S,4,1,2000,2
-116.29,-105.48,,,,,906.27,906.27,,,964.50,46.27,,0.98,1011.75,,-10.82,,,20365,CZQ,Aviation Concepts,CZQ,Aviation Concepts,06045,S,4,1,2004,4
-116.00,71.00,42293.00,,,,1041.00,43334.00,20305.00,4685.00,17827.00,446.00,,,43263.00,-187.00,,,,20297,JI (1),Midway Airlines Inc.,JI,Midway Airlines Inc.,06693,D,2,2,1995,2
-114.88,-114.88,,,4518.23,,,4518.23,1265.87,1865.76,776.26,542.22,183.00,,4633.11,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2021,2
-108.16,12.64,,,3142.31,,71.28,3213.60,947.26,1062.95,710.73,480.01,,,3200.95,-227.98,-2.58,-109.75,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2000,2
-107.94,-118.63,,,2672.08,,150.68,2822.76,2855.73,,85.66,,,,2941.39,10.69,,,,20382,VCQ,Victory Air Transport Inc.,VCQ,Victory Air Transport Inc.,07025,D,4,1,2006,4
-107.88,-102.18,,,251.03,,,251.03,93.18,88.40,38.34,,,133.29,353.21,-5.70,,,,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06564,S,4,1,1999,4
-98.84,-547.61,,,1332.50,,,1332.50,679.55,710.00,454.56,36.00,,,1880.11,-14.26,448.38,,14.65,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1995,2
-90.25,-102.22,,,3430.46,,,3430.46,2416.10,,1114.35,2.23,,,3532.68,-1.76,3.04,-10.68,,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06565,D,4,1,2004,4
-85.84,-94.30,,,1632.52,,21.32,1653.84,1639.61,26.03,82.50,,,,1748.14,,8.46,,,20382,VCQ,Victory Air Transport Inc.,VCQ,Victory Air Transport Inc.,07025,D,4,1,2006,2
-84.76,-440.86,,,12949.93,,,12949.93,9330.13,2083.56,721.07,1256.03,,,13390.79,-131.01,487.11,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,2008,4
-84.70,-187.15,,,10686.92,,,10686.92,5219.45,1338.51,4269.11,47.00,,,10874.06,,62.45,-40.00,,20402,GL,Miami Air International,MMQ,Miami Air International,06691,S,4,1,1992,4
-83.84,-22.96,,682.69,,,,682.69,281.83,149.88,180.96,,49.96,43.02,705.65,,-60.88,,,,,,CRQ,,,S,,,1990,4
-82.42,-250.48,,,7730.20,,0.00,7730.20,1958.09,3153.55,499.14,23.63,2346.28,,7980.68,-35.60,203.66,,,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",01162,D,4,1,2021,4
-80.75,-71.62,,,2106.69,,,2106.69,1322.82,411.39,194.11,,250.00,,2178.31,,-9.13,,,20006,CPQ,Capitol Air Express Inc.,CPQ,Capitol Air Express Inc.,06159,S,1,1,1993,2
-79.00,-79.51,,,4432.72,,126.19,4558.91,2397.95,1150.01,894.27,181.76,14.45,,4638.42,-0.49,1.00,,,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1998,4
-78.01,-75.39,,,15.42,,,15.42,27.71,22.78,10.32,,30.00,,90.81,-2.62,,,,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06564,S,4,1,2002,4
-72.47,-34.81,,459.63,121.98,,,581.61,261.85,115.97,176.38,,38.66,23.57,616.42,,-37.66,,,,,,CRQ,,,S,,,1991,2
-69.65,-130.13,,,8991.27,,,8991.27,7152.39,1301.61,654.98,12.42,,,9121.40,,60.48,,,19972,HCQ,Av Atlantic,HCQ,Av Atlantic,06091,S,1,1,1993,2
-68.16,-198.97,,,1151.25,,,1151.25,431.92,506.59,393.71,18.00,,,1350.22,-33.40,164.19,,0.01,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1996,4
-68.14,-88.46,,,4652.92,,,4652.92,3758.24,152.87,822.42,7.85,,,4741.38,,20.32,,,20284,TCQ,Express.Net Airlines,TCQ,Trans Continental Airlines,06895,S,4,1,1995,2
-64.98,-62.73,,,577.97,,,577.97,400.89,181.00,49.80,9.02,,,640.70,-2.25,,,,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1990,2
-62.42,-410.61,,,4366.24,,,4366.24,2660.59,1030.02,991.93,72.99,21.33,,4776.85,-1.69,349.88,,,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1998,2
-57.79,-223.84,,,5359.61,,11.58,5371.20,3807.05,1034.81,207.31,545.88,,,5595.04,70.76,,-95.30,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2008,2
-55.44,-92.61,,,3595.99,,,3595.99,2598.76,430.07,272.25,,387.52,,3688.60,,,,37.17,20102,SFQ,Pacific International Airlines Inc.,SFQ,Sportsflight Airways Inc.,06824,S,1,1,1995,2
-54.60,18.85,,,2194.79,,31.08,2225.87,2052.95,53.32,100.75,,,,2207.02,,-73.45,,,20382,VCQ,Victory Air Transport Inc.,VCQ,Victory Air Transport Inc.,07025,D,4,1,2005,4
-50.66,-10.66,,,6171.34,,195.09,6366.43,2245.32,1618.44,1443.34,0.00,1070.00,,6377.10,-40.00,0.00,,,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",01162,D,4,1,2015,2
-48.89,-48.89,,,591.92,,,591.92,330.97,104.79,205.06,,,,640.81,,,,,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,2000,4
-48.03,-80.04,2257.06,,,,509.22,2766.27,235.25,,860.43,,1750.64,,2846.32,,,-32.02,,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,1998,4
-46.61,-144.23,,,2135.79,,,2135.79,1226.12,480.65,520.76,52.50,,,2280.02,-23.43,71.56,,49.49,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1992,2
-46.27,-9.08,,,310.75,,,310.75,185.20,23.77,109.60,1.26,,,319.83,-28.68,,,-8.50,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06564,S,4,1,2003,2
-45.94,717.36,10545.41,40.43,8497.30,,259.74,19342.88,7961.60,3576.07,5876.26,1191.81,19.78,,18625.52,-880.00,116.70,,,19952,KW,Carnival Air Lines Inc.,KW,Pacific Interstate Airlines,06748,D,1,1,1990,4
-41.73,-173.38,,,6052.38,,,6052.38,3548.46,1040.40,1029.04,607.86,,,6225.76,142.67,-1.02,10.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2023,2
-41.28,,,,,,,,,,,,,,,9.65,-50.93,,,20382,VCQ,Victory Air Transport Inc.,VCQ,Victory Air Transport Inc.,07025,D,4,1,2007,4
-40.51,-40.51,,,,1030.81,,1030.81,420.03,279.79,71.41,,,300.08,1071.31,,,,,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1991,2
-39.57,-24.23,,,16883.32,,24.90,16908.22,7308.17,6837.86,2625.26,161.17,,,16932.45,0.84,-16.19,,,20308,WE,Centurion Cargo Inc.,WE,Centurion Cargo Inc.,16180,L,4,1,2005,2
-39.56,118.67,,,2555.98,,,2555.98,975.10,752.12,258.22,379.63,72.25,,2437.31,-225.08,-0.28,-67.14,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,1998,4
-39.40,-39.83,,,427.90,,11.20,439.10,476.12,,2.81,,,,478.93,,0.43,,,19647,JIQ,Jet Fleet Intl. Airlines,JIQ,Jet Fleet Intl. Airlines,06677,S,1,1,1991,4
-36.13,-34.90,,,,,,,34.90,,,,,,34.90,,-1.24,,,20382,VCQ,Victory Air Transport Inc.,VCQ,Victory Air Transport Inc.,07025,D,4,1,2009,4
-33.94,-83.02,,,6059.19,,,6059.19,3577.44,403.60,1052.43,,1108.74,,6142.21,,49.08,,,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2008,2
-33.90,-149.01,,,2103.95,,,2103.95,1217.13,496.45,486.88,52.50,,,2252.95,-12.58,139.69,,-12.01,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1993,2
-33.41,-33.41,,2804.45,6030.08,,,8834.53,3378.86,2855.61,2358.47,275.00,,,8867.94,,,,,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1996,2
-32.24,-20.83,,,7745.30,,,7745.30,5416.34,1865.35,468.94,15.50,0.00,0.00,7766.13,-11.42,,,,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2011,4
-26.74,-199.82,,,1107.89,,,1107.89,503.75,503.62,282.35,18.00,,,1307.72,-19.06,192.15,,0.00,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1997,2
-26.68,-26.68,,,,,1976.23,1976.23,2002.91,,,,,,2002.91,,,,,20014,ECQ,Trans American Charter,ECQ,Trans American Charter,06892,S,1,1,1993,2
-24.41,-8.14,,,288.06,,,288.06,67.93,82.88,56.10,,,89.29,296.19,-16.27,,,,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06564,S,4,1,2000,4
