NET_INCOME,OP_PROFIT,OP_REVENUE_SCH_PAX,OP_REVENUE_SCH_OTH,OP_REVENUE_NON_SCH,OP_REVENUE_PUB_SVC,OP_REVENUE_OTHER,OP_REVENUE,OP_EXPENSE_FLYING,OP_EXPENSE_MAINT,OP_EXPENSE_ADMIN,DEPR_PR_EQ_OWNED,DEPR_PR_EQ_LEASED,TRANS_EXPENSE,OP_EXPENSE,NON_OP_INT_EXP,NON_OP_EXP_OTH,TAX,EXTRA_ITEMS,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-1031.28,-677.53,,,9478.63,,,9478.63,2404.21,5489.49,1698.77,563.70,,,10156.16,-370.64,343.44,326.55,,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,4,1,1999,2
-1027.67,-1545.94,,,8285.89,,,8285.89,5252.61,694.38,1255.54,8.38,2620.92,,9831.83,-0.60,0.12,-518.75,,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06565,D,4,1,2006,2
-1021.84,-1021.84,,,2751.39,,,2751.39,1668.89,900.49,248.96,771.89,183.00,,3773.23,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2020,2
-1018.41,-5732.20,,,9807.81,,,9807.81,7885.01,6279.45,1318.56,56.99,,,15540.00,-13.41,4727.20,,,20308,WE,Centurion Cargo Inc.,WE,Centurion Cargo Inc.,16180,L,4,1,2003,2
-1015.74,-800.47,,,2032.58,,,2032.58,693.37,1259.81,879.88,,,,2833.05,-215.27,,,,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,4,1,2004,2
-999.68,-996.73,,,8749.57,,0.00,8749.57,6492.67,2357.42,883.42,12.79,0.00,0.00,9746.30,-2.98,0.03,0.00,0.00,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2014,4
-987.96,-531.20,540.00,,7413.79,,303.12,8256.91,3307.94,1010.05,4101.68,368.44,,,8788.11,-465.05,8.96,0.67,,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06852,S,4,1,2001,4
-980.74,-1583.41,0.00,0.00,-24845.17,0.00,0.00,-24845.17,12685.71,6420.37,1696.19,0.00,2459.50,0.00,23261.76,0.00,-602.67,0.00,0.00,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2011,2
-973.00,-983.00,,,23155.00,,,23155.00,11486.00,11072.00,1003.00,213.00,,364.00,24138.00,-154.00,164.00,,,,,,TCQ,,,S,,,2001,2
-970.22,-1107.29,,,4232.93,,,4232.93,2863.28,1316.30,1073.70,55.09,31.86,,5340.22,,137.07,,,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1997,4
-951.32,-951.32,,,2344.57,,305.56,2650.13,2014.19,268.87,1181.07,,137.33,,3601.45,,,,,20097,OI,Prestige Airways,OI,Paradise Airways,06753,D,1,1,1995,2
-926.80,209.75,,1222.37,2122.36,,17.93,3362.66,2467.09,37.63,571.42,76.77,,,3152.91,,-1136.55,,,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1995,2
-922.21,-856.69,1553.20,176.53,,,11.02,1740.75,1544.83,377.06,,675.56,,,2597.44,,-65.52,,,20097,OI,Prestige Airways,OI,Prestige Airways,06753,D,1,1,1997,2
-909.84,-950.04,,,3754.47,,18.22,3772.69,1991.12,988.62,1076.23,666.76,,,4722.73,-1.72,33.55,-8.36,,20207,XP,TEM Enterprises dba  Avelo Airlines,CXQ,Casino Express,06143,S,4,1,1990,2
-900.17,-1509.89,,,6464.83,,4.77,6469.61,5445.80,1607.69,926.01,,,,7979.50,6.15,,-603.57,,20102,SFQ,Pacific International Airlines Inc.,SFQ,Sportsflight Airways Inc.,06824,S,1,1,1995,4
-897.68,-897.68,,,4844.26,,,4844.26,2743.87,2096.10,193.53,525.45,183.00,,5741.94,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2018,4
-894.09,-861.22,5392.67,388.63,11.00,,24.67,5816.97,1450.98,732.09,4356.97,138.16,,,6678.19,-112.09,79.21,,,20243,J7,Valujet Airlines Inc.,J7,Valujet Airlines Inc.,06917 (1),D,2,2,1993,4
-892.60,-865.92,,,6679.26,,15.87,6695.13,2519.51,1930.97,1598.14,,1512.44,,7561.05,-36.45,9.77,,,20412,N5 (1),Nations Air Express Inc.,N5,Nations Air Express Inc.,06733,D,1,1,1996,4
-847.88,-847.88,,313.30,3725.47,,,4038.77,2427.64,831.22,739.16,0.00,,888.63,4886.65,0.00,0.00,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",06077,S,4,1,2011,2
-834.60,-872.33,,2737.51,,,9.28,2746.78,1735.31,294.03,923.01,666.76,,,3619.11,-19.56,65.65,8.36,,20207,XP,TEM Enterprises dba  Avelo Airlines,CXQ,Casino Express,06143,S,4,1,1990,4
-808.05,-34.72,,,12542.87,,,12542.87,5456.13,4101.62,1419.16,1600.67,,,12577.59,-819.01,45.68,,,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,2000,2
-804.49,-1149.67,,,6114.44,,,6114.44,3528.51,1987.60,1140.91,607.09,,,7264.11,82.18,,-263.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2024,2
-802.33,-1163.59,,,8224.51,0.00,750.00,8974.51,5051.01,4431.64,530.22,125.23,0.00,,10138.10,,,-361.26,,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,81003,S,4,1,2019,2
-793.44,-792.72,,4359.03,,,18.44,4377.47,2201.60,1000.39,1145.77,822.44,,,5170.19,-0.71,,,,20207,XP,TEM Enterprises dba  Avelo Airlines,CXQ,Casino Express,06143,S,4,1,1991,2
-792.84,-792.84,,83.30,5835.95,,,5919.24,3591.64,1776.65,1188.85,154.94,,,6712.08,,,,,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1997,2
-791.30,-775.35,,1149.96,890.23,,319.11,2359.30,1282.72,358.63,650.17,81.05,,762.08,3134.65,-15.95,,,,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,06001,S,1,1,1991,4
-788.03,-465.23,1781.73,34.71,4964.69,,6951.22,13732.35,5739.04,4333.88,3604.11,204.37,,316.17,14197.58,-50.58,-272.22,,,20263,EM,Empire Airlines Inc.,EM,Empire Airlines Inc.,06299,S,1,1,1993,2
-777.60,-736.78,,,1131.98,,,1131.98,316.67,120.44,819.37,5.23,600.00,7.06,1868.77,-42.03,1.21,,,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1992,4
-775.87,-781.41,,,1382.51,,,1382.51,1607.91,119.89,113.17,,,322.96,2163.92,,5.54,,,19972,HCQ,Av Atlantic,HCQ,Av Atlantic,06091,S,1,1,1992,4
-770.88,-780.01,,,1329.48,,,1329.48,855.46,167.96,819.74,266.33,,,2109.49,,9.13,,,19684,INQ,Independent Air Inc.,INQ,Independent Air Inc.,06610,S,1,1,1990,4
-769.44,46.30,,,6404.42,,11.87,6416.30,5439.99,756.84,173.17,,,,6369.99,-46.30,,,-769.44,20415,NA,North American Airlines,XG,North American Airlines,06730,D,1,1,1990,2
-751.38,-751.38,6079.31,346.90,,,,6426.20,4797.71,1182.42,573.33,,624.12,,7177.58,,,,,20006,CPQ,Capitol Air Express Inc.,CPQ,Capitol Air Express Inc.,06159,S,1,1,1994,2
-744.33,-744.33,,,3472.81,,,3472.81,1875.63,1011.51,120.76,855.27,353.97,,4217.14,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2007,4
-736.43,-738.82,,343.42,6535.00,,,6878.42,4044.02,1432.10,2141.13,0.00,,0.00,7617.24,-4.26,6.65,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",06077,S,4,1,2012,2
-720.67,-687.64,,646.47,17231.14,,,17877.61,11646.38,1652.54,5028.79,237.54,,0.00,18565.25,-34.23,1.20,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",06077,S,4,1,2013,4
-712.11,-712.11,,,5223.95,,,5223.95,2916.90,2052.93,170.93,474.30,321.00,,5936.06,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2014,2
-708.34,-649.46,,8000.66,,,,8000.66,6562.90,923.11,1083.95,80.17,,,8650.12,-79.92,132.25,,-111.22,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1999,2
-703.84,-704.18,,,931.07,,,931.07,975.12,466.97,178.17,15.00,,,1635.25,,0.34,,,20368,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1,1,1998,4
-699.31,-690.49,,,1424.38,,186.34,1610.72,1205.81,358.06,727.09,3.36,,6.89,2301.21,-13.02,4.20,,,20147,T9,TransMeridian Airlines,T9,TransMeridian Airlines,06885,S,4,1,1995,4
-696.37,-983.63,,,1355.71,,,1355.71,1722.17,223.54,393.63,,,,2339.33,-26.11,-65.19,-378.56,,20019,5J (1),Private Jet Expeditions,PJQ,Private Jet Expeditions,06761,S,2,2,1991,2
-690.73,-690.73,,636.76,391.49,,264.09,1292.34,734.92,789.18,378.22,80.75,,,1983.07,,,,,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,06001,S,1,1,1991,2
