CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2308.72,,33.93,16748.55,476.00,16306.48,918.47,2095.35,,21629.02,,,,,332.12,3617.76,1112.95,2836.93,,,176.23,,,3013.16,334.65,91.90,242.75,,,1650.45,1650.45,26535.38,71.04,5720.88,,3656.64,1533.29,184.52,647.16,313.31,,481.76,,,5568.88,18177.48,4018.70,,,119.21,374.08,4511.99,,,,,,,10.88,-193.55,-182.68,2525.11,2342.43,1503.48,3845.91,,3845.91,26535.38,20151,M6,Amerijet International,M6,Amerijet International,06052,D,1,1,2004,2
2312.78,,,9112.44,,9112.44,6016.49,282.55,,17724.25,,,,,12885.13,3938.43,4708.86,12114.69,,,265.24,13651.72,5456.35,20575.30,,,,,,14620.85,14620.85,52920.40,,,,17569.25,,1316.92,830.11,844.58,,4447.73,,,7133.74,32142.31,15200.00,,,6152.52,,21352.52,-4965.55,,207.15,-4758.40,,,1.00,,1.00,,1.00,4182.96,4183.96,,4183.96,52920.40,20414,OW,Executive Airlines,NA,Executive Airlines,06196,D,2,2,1994,3
2317.40,,,611.39,,611.39,154.85,8849.80,,11933.43,474175.87,,,474175.87,1161.90,447.06,323.46,1285.50,,1588.42,,,,2873.93,,,,20077.71,,797.15,20874.86,509858.09,,,,9477.25,,,645.19,520.12,,261.10,,,31449.12,42352.78,246875.00,229961.84,,,,476836.84,,,,,,,,,,,,-9331.53,-9331.53,,-9331.53,509858.09,21069,GG,"Cargo 360, Inc.",GG,"Cargo 360, Inc.",01124,D,1,1,2007,4
2317.79,0.00,0.00,13365.86,7495.01,5870.85,36282.48,95435.25,0.00,139906.37,0.00,0.00,0.00,0.00,134077.43,213625.09,216763.05,130939.46,0.00,0.00,19813.20,0.00,0.00,150752.67,0.00,0.00,0.00,110935.27,0.00,53374.85,164310.12,454969.16,0.00,0.00,0.00,32623.54,70828.31,0.00,45737.45,46264.76,0.00,8058.11,0.00,0.00,68653.67,272165.84,0.00,0.00,0.00,0.00,51214.47,51214.47,0.00,0.00,4410.06,4410.06,0.00,,1.00,0.00,1.00,478190.82,478191.82,-351013.03,127178.78,0.00,127178.78,454969.16,20398,MQ,Envoy Air,MQ,Envoy Air,06820,D,3,3,2024,2
2319.68,8191.65,,19115.71,,19115.71,2066.83,749.12,1647.07,34090.06,,,,,19619.02,2703.92,6807.22,15515.72,,,,,,15515.72,3762.24,2265.97,1496.27,1746.81,,2695.09,4441.89,55543.94,,,,9474.00,2126.25,,1364.06,1133.36,2070.40,,,,29594.06,45762.14,8147.50,33358.45,,,,41505.95,,,3223.64,3223.64,,,1.00,,1.00,,1.00,-34948.79,-34947.79,,-34947.79,55543.94,20423,U5,USA 3000 Airlines,U5,USA 3000 Airlines,06921,D,2,2,2006,2
2320.00,,,14603.00,,14603.00,489.00,8556.00,3063.00,29031.00,,,,,94410.00,3690.00,41903.00,56197.00,,,,,,56197.00,,,,,,309.00,309.00,85537.00,9807.00,6600.00,,7099.00,4473.00,,,,,,,,4586.00,32565.00,27267.00,,,,,27267.00,9087.00,,12.00,9099.00,,,5.00,,5.00,3263.00,3268.00,13338.00,16606.00,,16606.00,85537.00,20218,JKQ,Express One International Inc.,JKQ,Express One International Inc.,06682,D,2,2,2000,1
2321.44,12861.00,,26531.33,500.00,26031.33,7150.03,2981.89,858.20,52203.88,790.01,1577.70,692.30,3060.01,25507.27,5957.44,5521.42,25943.29,,,620.98,16773.30,1826.98,41510.59,13500.78,6001.94,7498.85,1437.39,,65168.51,66605.90,170879.23,4895.33,,,23785.10,81.90,2787.02,2255.93,5373.67,172.56,683.62,,21630.31,7382.32,69047.76,13931.30,,,8676.16,29308.88,51916.34,,,,,,,268.55,,268.55,60348.05,60616.59,-10701.47,49915.12,,49915.12,170879.23,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,2,2,1996,2
2322.13,0.00,0.00,9964.89,0.00,9964.89,185.37,559.19,0.00,13031.58,0.00,0.00,0.00,0.00,23996.25,2013.82,8681.29,17328.78,0.00,0.00,0.00,0.00,0.00,17328.78,,0.00,0.00,0.00,0.00,149.45,149.45,30509.81,607.22,0.00,0.00,3846.75,785.36,0.00,0.00,0.00,0.00,111.36,0.00,0.00,1810.34,7161.03,16290.32,0.00,0.00,0.00,4075.00,20365.32,952.26,0.00,0.00,952.26,0.00,,9.40,0.00,9.40,0.00,9.40,2021.81,2031.21,0.00,2031.21,30509.81,21352,0WQ,Avjet Corporation,0WQ,Avjet Corporation,01150,D,1,1,2011,4
2323.78,0.00,0.00,46658.81,200.00,46458.81,0.00,205.01,10082.06,59069.66,0.00,0.00,66.23,66.23,70788.01,10717.63,19581.79,61923.85,0.00,4212.17,11281.68,9128.86,0.00,86546.56,0.00,0.00,0.00,0.00,0.00,721.16,721.16,146403.61,0.00,0.00,0.00,1722.46,0.00,4671.70,34.32,667.68,0.00,0.00,0.00,0.00,0.00,7096.15,0.00,116295.18,0.00,4457.16,0.00,120752.34,0.00,0.00,0.00,0.00,0.00,,1.00,0.00,1.00,351920.63,351921.63,-333366.52,18555.11,0.00,18555.11,146403.61,20405,N8,National Air Cargo Group Inc d/ba National Airlines,N8,National Air Cargo Group Inc d/ba National Airlines,07029,D,2,2,2023,4
2325.47,0.00,0.00,38257.64,1192.08,37065.56,0.00,650.38,6199.82,46241.23,0.00,195852.29,374.82,196227.11,39359.07,1825.71,16264.40,24920.38,0.00,1946.59,138.07,0.00,0.00,27005.04,0.00,0.00,0.00,0.00,0.00,1063.56,1063.56,270536.94,0.00,0.00,0.00,5400.61,0.00,0.00,503.54,602.99,0.00,0.00,0.00,0.00,0.00,6507.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,0.00,1.00,351920.63,351921.63,-87891.83,264029.80,0.00,264029.80,270536.94,20405,N8,National Air Cargo Group Inc d/ba National Airlines,N8,National Air Cargo Group Inc d/ba National Airlines,07029,D,2,2,2022,3
