YEAR,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ENTITY,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
2008,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,A,7,628,0,1300,47,0,753,49,205,213,37,375,48,368,0,4030
2008,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,D,24,2669,0,4214,165,0,6626,193,1681,291,204,1286,115,1327,0,18795
2008,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,P,11,1048,0,1784,54,0,958,41,436,303,68,685,81,668,162,6299
2008,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,D,1937,5588,0,7692,1701,0,6106,299,8408,415,82,737,42,1673,0,34680
2008,19678,AQ,Aloha Airlines Inc.,AQ,Aloha Airlines Inc.,D,12,27,3,0,52,0,0,8,0,189,5,23,3,17,0,339
2008,19687,QX,Horizon Air,QX,Horizon Air,D,2,763,0,207,750,0,138,346,1305,33,57,89,8,0,0,3698
2008,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,A,0,928,0,2960,1050,0,0,16,1770,180,23,120,0,890,0,7937
2008,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,D,48,2945,0,4978,2234,0,0,90,9758,991,73,749,0,5546,0,27412
2008,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,L,0,506,0,718,387,0,0,14,1562,159,12,121,0,894,0,4373
2008,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,P,0,199,0,152,218,0,0,2,175,18,5,17,0,122,0,908
2008,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,A,63,1567,0,2879,1292,0,491,90,1571,1679,91,122,206,1574,0,11625
2008,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,D,166,4114,0,7557,3393,0,1291,236,4124,4408,239,321,540,4132,0,30521
2008,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,L,25,615,0,1131,508,0,193,35,617,659,36,48,81,618,0,4566
2008,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,P,4,95,0,175,79,0,30,5,96,102,6,7,13,96,0,708
2008,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,A,8,1127,0,3290,1373,0,10,10,689,535,39,984,25,17,0,8107
2008,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,D,33,5393,0,8642,10514,0,164,162,10818,8397,162,4072,103,71,0,48532
2008,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,L,10,1426,0,3138,2257,0,34,34,2235,1735,48,1213,31,21,0,12182
2008,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,P,2,360,0,892,335,0,2,2,123,96,11,269,7,5,0,2104
2008,19874,8C,Air Transport International,8C,Air Transport International,A,7,36,14,23,32,0,8,0,0,0,8,7,3,24,0,162
2008,19874,8C,Air Transport International,8C,Air Transport International,D,7,73,29,0,52,0,20,0,0,0,8,7,0,25,0,221
2008,19917,5X,United Parcel Service,5X,United Parcel Service,A,0,317,1,0,209,0,23,12,0,0,18,74,3,13,0,670
2008,19917,5X,United Parcel Service,5X,United Parcel Service,D,0,1798,5,0,1183,0,129,66,0,0,102,418,17,76,0,3794
2008,19917,5X,United Parcel Service,5X,United Parcel Service,L,0,149,0,0,98,0,11,5,0,0,9,35,1,6,0,314
