AIR_OP_EXPENSE,FL_ATT_EXPENSE,FOOD_EXPENSE,OTH_IN_FL_EXPENSE,PAX_SVC_EXPENSE,LINE_SVC_EXPENSE,CONTROL_EXPENSE,LANDING_FEES,AIR_SVC_EXPENSE,TRAFFIC_EXP_PAX,TRAFFIC_EXP_CARGO,TRAFFIC_EXP_OTH,TRAFFIC_EXPENSE,RES_EXP_PAX,RES_EXP_CARGO,RES_EXP_OTH,RES_EXPENSE,AD_EXP_PAX,AD_EXP_CARGO,AD_EXP_INST,AD_EXPENSE,ADMIN_EXPENSE,DEPR_EXP_MAINT,AMORTIZATION,TRANSPORT_EXP,TOTAL_OP_EXPENSE,MAINT_PROP_EQUIP,DEPR_PROP_EQUIP,MAINT_DEPR,SVC_SALES_OP_EXP,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2176.00,42.00,9.00,7.00,58.00,6.00,20.00,1.00,27.00,1.00,,,1.00,13.00,2.00,,15.00,,,,,16.00,,,1.00,2295.00,,1.00,1.00,118.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,2008,1
2204.00,,,,,38.00,90.00,95.00,223.00,,69.00,,69.00,,,12.00,12.00,,,,,281.00,1.00,2.00,,2892.00,75.00,25.00,100.00,688.00,19917,5X,United Parcel Service,5X,United Parcel Service,16912,L,3,3,1995,4
2232.25,0.00,0.00,0.00,0.00,0.00,84.80,0.00,84.80,0.00,0.00,207.46,207.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1208.78,1.58,0.00,0.00,3781.35,0.00,46.48,46.48,1549.10,20357,ER,"Astar USA, LLC",ER,"Astar USA, LLC",16171,L,2,2,2011,4
2241.74,121.20,0.33,70.55,192.08,0.00,0.00,0.19,0.19,21.61,0.00,118.14,139.75,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.98,142.82,0.00,1.37,0.00,2731.89,0.00,12.96,12.96,490.14,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2020,4
2242.05,203.10,0.00,4.29,207.39,1.35,28.58,0.00,29.93,1.26,0.00,0.06,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,299.71,3.19,0.00,0.00,2798.72,0.00,15.12,15.12,556.67,20452,YX,Republic Airline,YX,Republic Airline,11029,L,3,3,2020,4
2250.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.09,0.00,77.09,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,933.00,2.65,0.00,0.00,3352.27,0.00,88.44,88.44,1101.54,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,16917,I,3,3,2023,1
2261.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,951.96,0.00,0.00,0.00,3325.16,0.00,111.26,111.26,1063.22,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,16917,I,2,2,2021,1
2312.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.50,0.00,97.50,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,1051.03,3.19,0.00,0.00,3585.43,0.00,119.09,119.09,1272.47,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,16917,I,2,2,2021,4
2314.00,50.00,27.00,26.00,103.00,67.00,253.00,55.00,375.00,8.00,,,8.00,32.00,,54.00,86.00,,,3.00,3.00,179.00,,20.00,368.00,3462.00,,6.00,6.00,780.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,1994,3
2327.00,213.00,10.00,20.00,243.00,39.00,73.00,34.00,146.00,2.00,,,2.00,,,12.00,12.00,,,1.00,1.00,53.00,,1.00,34.00,2820.00,,1.00,1.00,459.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,1993,2
