YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
1990,1,3,19690.0,HA,HA,Hawaiian Airlines Inc.,2,0.0,5397145.0,5397145.0,0.0,1405577.0,0.0,1405577.0,6802722.0,0.0,1002582.0,1002582.0,205373.0,107641.0,0.0,0.0,313014.0,88818.5,6399727.0,225964.0,8118318.0,0.0,3796298.0,3796298.0,0.0,1051841.0,0.0,1051841.0,4848139.0,0.0,740337.0,740337.0,158357.0,86113.0,0.0,0.0,244470.0,984807.0,4536635.0,1296311.0,5832946.0
1990,1,3,19790.0,DL,DL,Delta Air Lines Inc.,3,0.0,148070717.0,148070717.0,11049982.0,4090312.0,4439027.0,19579321.0,167650038.0,0.0,23644.0,23644.0,0.0,0.0,0.0,0.0,0.0,88818.5,148094361.0,225964.0,167673682.0,0.0,102227427.0,102227427.0,8129096.0,3017980.0,3021211.0,14168287.0,116395714.0,0.0,18986.0,18986.0,0.0,0.0,0.0,0.0,0.0,18986.0,102246413.0,14168287.0,116414700.0
1990,1,3,19805.0,AA,AA,American Airlines Inc.,3,0.0,171884786.0,171884786.0,16253533.0,2577143.0,8145918.0,26976594.0,198861380.0,0.0,452895.0,452895.0,0.0,0.0,0.0,0.0,0.0,88818.5,172337681.0,225964.0,199314275.0,0.0,112170998.0,112170998.0,10998291.0,1878672.0,5562845.0,18439808.0,130610806.0,0.0,298949.0,298949.0,0.0,0.0,0.0,0.0,0.0,298949.0,112469947.0,18439808.0,130909755.0
1990,1,3,19977.0,UA,UA,United Air Lines Inc.,3,0.0,143300730.0,143300730.0,0.0,40428206.0,1153824.0,41582030.0,184882760.0,0.0,14717.0,14717.0,0.0,104741.0,0.0,0.0,104741.0,88818.5,143315447.0,225964.0,185002218.0,0.0,91370083.0,91370083.0,0.0,27532782.0,797844.0,28330626.0,119700709.0,0.0,9487.0,9487.0,0.0,67516.0,0.0,0.0,67516.0,77003.0,91379570.0,28398142.0,119777712.0
1990,2,4,19690.0,HA,HA,Hawaiian Airlines Inc.,2,0.0,5762982.0,5762982.0,0.0,1259719.0,0.0,1259719.0,7022701.0,0.0,914253.0,914253.0,391269.0,116687.0,0.0,0.0,507956.0,88818.5,6677235.0,225964.0,8444910.0,0.0,4031823.0,4031823.0,0.0,928035.0,0.0,928035.0,4959858.0,0.0,67380.0,67380.0,285118.0,84715.0,0.0,0.0,369833.0,437213.0,4099203.0,1297868.0,5397071.0
1990,2,4,19790.0,DL,DL,Delta Air Lines Inc.,3,0.0,142858578.0,142858578.0,10525751.0,3962418.0,4295681.0,18783850.0,161642428.0,0.0,197648.0,197648.0,72198.0,0.0,0.0,0.0,72198.0,88818.5,143056226.0,225964.0,161912274.0,0.0,88633466.0,88633466.0,6725943.0,2873325.0,2751886.0,12351154.0,100984620.0,0.0,112383.0,112383.0,45369.0,0.0,0.0,0.0,45369.0,157752.0,88745849.0,12396523.0,101142372.0
1990,2,4,19805.0,AA,AA,American Airlines Inc.,3,0.0,166499121.0,166499121.0,15793693.0,2361840.0,7005476.0,25161009.0,191660130.0,0.0,474996.0,474996.0,0.0,0.0,0.0,0.0,0.0,88818.5,166974117.0,225964.0,192135126.0,0.0,104288312.0,104288312.0,10009440.0,1637396.0,4663202.0,16310038.0,120598350.0,0.0,301987.0,301987.0,0.0,0.0,0.0,0.0,0.0,301987.0,104590299.0,16310038.0,120900337.0
1990,2,4,19977.0,UA,UA,United Air Lines Inc.,3,0.0,137775374.0,137775374.0,0.0,38995541.0,1072666.0,40068207.0,177843581.0,0.0,53161.0,53161.0,0.0,0.0,0.0,0.0,0.0,88818.5,137828535.0,225964.0,177896742.0,0.0,84329635.0,84329635.0,0.0,26088070.0,689298.0,26777368.0,111107003.0,0.0,33220.0,33220.0,0.0,0.0,0.0,0.0,0.0,33220.0,84362855.0,26777368.0,111140223.0
1990,2,5,19393.0,WN,WN,Southwest Airlines Co.,3,0.0,26571785.0,26571785.0,0.0,0.0,0.0,0.0,26571785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88818.5,26571785.0,225964.0,26571785.0,0.0,16093275.0,16093275.0,0.0,0.0,0.0,0.0,16093275.0,0.0,48635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16093275.0,0.0,16093275.0
1990,2,5,19690.0,HA,HA,Hawaiian Airlines Inc.,2,0.0,5343627.0,5343627.0,0.0,1379692.0,0.0,1379692.0,6723319.0,0.0,405226.0,405226.0,194836.0,145956.0,0.0,0.0,340792.0,88818.5,5748853.0,225964.0,7469337.0,0.0,3596432.0,3596432.0,0.0,988188.0,0.0,988188.0,4584620.0,0.0,276525.0,276525.0,135763.0,103926.0,0.0,0.0,239689.0,516214.0,3872957.0,1227877.0,5100834.0
