YEAR,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ENTITY,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
2022,20409.0,B6,JetBlue Airways,B6,JetBlue Airways,D,45,3096,19,4155,748,0,90,299,4952,45,633,169,94,1158,0,15503
2022,20409.0,B6,JetBlue Airways,B6,JetBlue Airways,L,12,830,5,1113,201,0,60,80,1328,0,0,45,25,310,0,4009
2022,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,D,1381,2710,0,4770,548,0,0,72,243,0,79,31,0,262,0,10096
2022,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,L,216,423,0,745,86,0,0,11,38,0,12,5,0,41,0,1577
2022,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,D,33,1862,0,3161,400,0,125,9,0,0,43,217,0,183,0,6033
2022,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,L,2,135,0,229,29,0,9,1,0,0,3,16,0,13,0,437
2023,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,D,2190,9786,0,18692,2815,0,1582,473,11040,13503,290,943,11,7042,0,68367
2023,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,L,54,243,0,464,70,0,39,12,274,335,7,23,0,175,0,1696
2023,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,D,93,815,0,1600,512,0,270,153,759,500,37,415,137,93,0,5384
2023,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,P,34,302,0,592,190,0,100,57,281,185,14,154,50,35,0,1994
2023,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,A,94,2125,0,3646,1454,0,983,149,3356,228,412,181,273,2545,0,15446
2023,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,D,439,9889,0,16966,6767,0,4573,694,15616,1062,1915,842,1271,11845,0,71879
2023,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,L,47,1063,0,1824,727,0,492,75,1679,114,206,91,137,1273,0,7728
2023,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,P,21,466,0,800,319,0,216,33,736,50,90,40,60,558,0,3389
2023,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,A,12,2756,0,4587,2900,0,0,144,2419,3242,180,2464,318,0,0,19022
2023,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,D,39,9464,0,15747,9958,0,0,493,8306,11132,620,8461,1091,0,0,65311
2023,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,L,10,2257,0,3755,2374,0,0,118,1980,2654,148,2018,260,0,0,15574
2023,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,P,2,475,0,790,499,0,0,25,416,558,31,424,55,0,0,3275
2023,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,A,75,2078,0,3498,1137,0,1682,217,4026,58,170,452,85,77,0,13555
2023,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,D,329,9154,0,15406,5010,0,7408,958,17734,254,750,1992,373,339,0,59707
2023,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,L,61,1703,0,2865,932,0,1378,178,3298,47,139,371,69,63,0,11104
2023,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,P,47,1318,0,2219,722,0,1067,138,2554,37,108,287,54,49,0,8600
2023,20368.0,G4,Allegiant Air,G4,Allegiant Air,D,49,1128,67,2073,657,447,0,146,188,0,55,155,58,227,0,5250
2023,20409.0,B6,JetBlue Airways,B6,JetBlue Airways,A,2,186,1,249,46,0,4,19,246,0,0,12,6,69,0,840
2023,20409.0,B6,JetBlue Airways,B6,JetBlue Airways,D,35,3177,22,4248,791,0,92,318,4200,49,552,197,109,1169,0,14959
2023,20409.0,B6,JetBlue Airways,B6,JetBlue Airways,L,12,1051,7,1404,262,0,61,105,1389,0,0,66,36,386,0,4779
2023,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,D,335,3187,0,5553,667,0,0,90,262,334,80,36,0,1228,0,11772
2023,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,L,52,493,0,859,103,0,0,14,41,52,12,5,0,190,0,1821
2023,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,D,29,1946,0,3278,716,0,147,11,0,0,57,288,0,194,0,6666
2023,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,L,2,166,0,280,61,0,12,1,0,0,5,25,0,17,0,569
