SALARIES_MGT,SALARIES_FLIGHT,SALARIES_MAINT,SALARIES_TRAFFIC,SALARIES_OTHER,SALARIES,BENEFITS_PERSONNEL,BENEFITS_PENSIONS,BENEFITS_PAYROLL,BENEFITS,SALARIES_BENEFITS,AIRCRAFT_FUEL,MAINT_MATERIAL,FOOD,OTHER_MATERIALS,MATERIALS_TOTAL,ADVERTISING,COMMUNICATION,INSURANCE,OUTSIDE_EQUIP,COMMISIONS_PAX,COMMISSIONS_CARGO,OTHER_SERVICES,SERVICES_TOTAL,LANDING_FEES,RENTALS,DEPRECIATION,AMORTIZATION,OTHER,TRANS_EXPENSE,OP_EXPENSE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
24.0,3330.0,555.0,1098.0,788.0,5795.0,200.0,911.0,431.0,1542.0,7337.0,11651.0,198.0,88.0,255.0,12192.0,124.0,379.0,406.0,392.0,31.0,43.0,3712.0,5044.0,846.0,6115.0,393.0,180.46,1508.0,449.31,33435.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2009,3
24.0,91717.0,13696.0,29097.0,24242.0,158775.0,12651.0,36719.0,12265.0,61635.0,220410.0,377031.0,16987.0,13222.0,-6149.0,401090.0,4530.0,10062.0,2998.0,21752.0,9041.0,392.0,71936.0,120712.0,10090.0,33709.0,50505.0,10481.0,-10253.0,177599.0,1014343.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3.0,3.0,2009,1
25.0,3269.41,392.73,840.63,1017.12,5544.88,248.06,693.96,313.26,1255.28,6800.16,13370.57,866.24,90.34,250.32,14577.46,153.28,357.41,288.15,392.75,29.11,0.0,3079.24,4299.94,813.54,5248.06,244.47,0.0,1277.76,0.0,33261.39,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2011,4
25.2,47911.5,11502.59,2940.08,10436.01,72815.38,12462.33,24916.32,4740.3,42118.96,114934.34,103572.1,15188.48,1336.27,2448.44,122545.29,8456.36,2335.89,1408.82,3868.2,0.0,0.0,18895.38,34964.65,15300.74,3406.15,37267.37,2745.4,22891.87,0.0,354055.79,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2019,4
26.9,63052.84,11247.34,3060.02,1449.65,78836.75,9920.26,18237.7,7466.51,35624.46,114461.21,88811.12,14434.5,1596.2,2591.84,107433.65,5788.84,2765.79,1449.95,3274.39,0.0,0.0,20968.66,34247.63,14435.17,4352.68,39465.09,2458.59,31091.47,0.0,347945.48,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2020,1
27.0,7690.0,1289.0,6230.0,2081.0,17317.0,1175.0,3936.0,1507.0,6618.0,23935.0,7887.0,1975.0,3299.0,1048.0,14209.0,1401.0,1841.0,188.0,861.0,5866.0,51.0,3160.0,13368.0,993.0,5440.0,2658.0,239.0,784.0,131.0,61757.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1992,1
27.0,47740.98,10714.38,2878.78,10150.09,71511.23,7986.23,22125.52,3961.18,34072.92,105584.15,103807.91,14233.02,1351.87,2600.5,121993.3,9167.84,2227.54,1171.95,2727.46,0.0,0.0,23061.48,38356.25,14950.08,3238.03,31910.45,3596.91,16445.11,0.0,336074.28,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2018,4
27.56,46402.07,10248.83,2396.57,8452.72,67527.75,3722.24,18154.27,4652.83,26529.34,94057.08,52538.49,8883.41,978.37,1990.41,64390.68,1569.99,2456.86,1063.22,599.83,0.0,0.0,14283.33,19973.23,17881.07,6576.12,40486.27,4232.83,51865.84,0.0,299463.12,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2020,3
27.85,46019.23,9510.0,2495.36,8027.98,66080.41,3865.76,19056.52,3352.86,26275.14,92355.55,27356.55,8477.75,291.48,2038.33,38164.1,254.28,2665.51,862.1,434.11,0.0,0.0,14137.62,18353.62,10781.15,4527.59,40480.04,2232.73,95630.64,0.0,302525.41,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2020,2
28.0,10395.0,1991.0,1888.0,3091.0,17393.0,2091.0,3645.0,1200.0,6936.0,24329.0,14949.0,3995.0,4032.0,880.0,23856.0,1507.0,1198.0,96.0,518.0,25364.0,10480.0,6663.0,45826.0,1942.0,6090.0,4560.0,180.46,1663.0,117.0,108383.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3.0,3.0,1991,2
