YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
1990,10,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,68640.0,5668.0,74308,71474
1990,11,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8463.0,137.0,8600,8532
1990,11,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2323.0,351.0,2674,2499
1990,11,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,57989.0,4450.0,62439,60214
1990,11,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73171.0,9492.0,82663,77917
1990,11,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69091.0,5681.0,74772,71932
1990,12,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8486.0,134.0,8620,8553
1990,12,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2294.0,346.0,2640,2467
1990,12,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58413.0,4500.0,62913,60663
1990,12,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73726.0,9507.0,83233,78480
1990,12,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69277.0,5748.0,75025,72151
1991,1,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8503.0,137.0,8640,8572
1991,1,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2270.0,353.0,2623,2447
1991,1,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58446.0,4531.0,62977,60712
1991,1,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73867.0,9426.0,83293,78580
1991,1,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69448.0,5657.0,75105,72277
1991,2,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8667.0,134.0,8801,8734
1991,2,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2260.0,356.0,2616,2438
1991,2,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58938.0,4608.0,63546,61242
1991,2,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73490.0,9934.0,83424,78457
1991,2,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69460.0,5661.0,75121,72291
1991,3,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8671.0,135.0,8806,8739
1991,3,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2260.0,355.0,2615,2438
1991,3,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,59285.0,4794.0,64079,61682
1991,3,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73538.0,10192.0,83730,78634
1991,3,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,70730.0,5670.0,76400,73565
1991,4,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8892.0,134.0,9026,8959
1991,4,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2269.0,396.0,2665,2467
1991,4,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,59716.0,4980.0,64696,62206
1991,4,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,74075.0,10246.0,84321,79198
1991,4,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,71207.0,5685.0,76892,74050
1991,5,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,9074.0,136.0,9210,9142
1991,5,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2291.0,403.0,2694,2493
1991,5,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,60649.0,5076.0,65725,63187
1991,5,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,74853.0,10427.0,85280,80067
1991,5,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,72036.0,5835.0,77871,74954
1991,6,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,9170.0,131.0,9301,9236
1991,6,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2308.0,403.0,2711,2510
1991,6,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,61392.0,5120.0,66512,63952
1991,6,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,75683.0,10716.0,86399,81041
1991,6,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,72936.0,6094.0,79030,75983
1991,7,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,9249.0,130.0,9379,9314
1991,7,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2332.0,390.0,2722,2527
1991,7,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,62147.0,5167.0,67314,64731
1991,7,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,76563.0,10876.0,87439,82001
1991,7,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,73259.0,6229.0,79488,76374
1991,8,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,9312.0,114.0,9426,9369
1991,8,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2334.0,390.0,2724,2529
1991,8,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,62179.0,5216.0,67395,64787
1991,8,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,76887.0,11029.0,87916,82402
1991,8,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,73749.0,6266.0,80015,76882
1991,9,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,9396.0,111.0,9507,9452
1991,9,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2328.0,379.0,2707,2518
1991,9,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,63178.0,4860.0,68038,65608
1991,9,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,82579.0,12560.0,95139,88859
1991,9,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,73537.0,6159.0,79696,76617
1991,10,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,9462.0,101.0,9563,9513
1991,10,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2314.0,372.0,2686,2500
1991,10,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,63927.0,4882.0,68809,66368
1991,10,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,82722.0,12785.0,95507,89115
1991,10,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,73780.0,6214.0,79994,76887
1991,11,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,9570.0,111.0,9681,9626
1991,11,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2315.0,378.0,2693,2504
1991,11,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,71204.0,4929.0,76133,73669
1991,11,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,83237.0,12293.0,95530,89384
1991,11,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,73987.0,6235.0,80222,77105
