NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2686.66,2668.59,20806.0,126.65,8719.24,5350.0,80.0,7439.82,7439.82,165.995,2210.0,9.12,2210.0,0.0,1553.415,30455.82,3290.23,3326.0,5541.96,9718.29,2571.035,5230.655000000001,19960.0,1211.0,476.845,27787.23,-632.0,0.0,0.0,0.0,0.0,675.0,43.0,2711.59,24.94,2686.66,0.0,0.0,0.0,2686.66,0.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,1.0,1.0,2005,2
2714.22,2718.25,5706.92,227.14,257.21,160.16,97.05,3343.6400000000003,618.9749999999999,165.995,1330.565,9.12,26.92,0.0,5.89,6224.08,583.69,545.43,606.35,762.92,672.24,244.09,228.6,75.25,15.86,3505.83,-486.07,-0.26,0.0,0.0,0.0,-3.76,-4.03,2714.22,4.87,2714.22,0.0,0.0,0.0,273.195,0.0,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2.0,2.0,1995,3
2745.0,-24137.0,38140.0,17.0,8719.24,997.0,236.0,3343.6400000000003,72.0,0.0,1330.565,9.12,8865.0,0.0,359.0,48686.0,26177.0,9554.0,4753.0,15389.0,3481.0,5384.0,228.6,7426.0,659.0,72823.0,-2687.0,255.0,-8.0,0.0,0.0,30035.0,27595.0,3458.0,713.0,2745.0,0.0,0.0,0.0,2745.0,0.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3.0,3.0,2021,1
2745.0,5304.0,53673.0,0.0,8719.24,527.0,521.0,3343.6400000000003,135.0,0.0,1330.565,87.0,1804.0,0.0,145.0,56892.0,25796.0,5184.0,3516.0,8259.0,2832.0,3274.0,228.6,2620.0,107.0,51588.0,-357.0,54.0,0.0,-6.0,0.0,-549.0,-858.0,4446.0,1701.0,2745.0,0.0,0.0,0.0,2745.0,0.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3.0,3.0,2013,2
2749.0,72859.0,784904.0,7636.0,8719.24,66407.0,4149.0,3343.6400000000003,0.0,0.0,1330.565,290.0,1930.0,0.0,49830.0,915146.0,351805.0,81194.0,95295.0,78150.0,63575.0,98467.0,228.6,58487.0,15314.0,842287.0,-39588.0,-4002.0,2182.0,-27487.0,0.0,-1071.0,-69966.0,2893.0,144.0,2749.0,0.0,0.0,0.0,2749.0,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3.0,3.0,2010,4
2749.81,2767.28,56329.24,0.0,8719.24,0.0,20815.2,3343.6400000000003,0.0,0.0,1330.565,6803.85,2790.96,0.0,2906.54,89645.79,51040.03,5863.26,4859.72,15479.94,4420.85,4693.54,0.0,521.17,0.0,86878.51,-496.26,1119.19,0.0,0.0,0.0,0.0,622.94,3390.22,640.41,2749.81,0.0,0.0,0.0,273.195,0.0,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3.0,3.0,2023,2
2767.0,-1028.0,57572.0,1220.0,13867.0,13613.0,254.0,3343.6400000000003,618.9749999999999,165.995,348.0,9.12,348.0,0.0,9788.0,82795.0,19950.0,8818.0,16883.0,8338.0,6535.0,6510.0,228.6,8058.0,8731.0,83823.0,-2674.0,367.0,0.0,9.0,0.0,6093.0,3795.0,2767.0,4.87,2767.0,0.0,0.0,0.0,2767.0,0.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,2003,2
2772.88,-5687.66,13960.49,312.54,194.36,134.31,60.05,26635.75,26635.75,165.995,1330.565,9.12,100.77,0.0,77.71,41281.62,21135.1,9368.42,6278.29,3849.19,3784.14,1695.65,228.6,682.19,176.32,46969.28,-895.49,318.1,0.0,0.0,0.0,9037.93,8460.54,2772.88,4.87,2772.88,0.0,0.0,0.0,273.195,0.0,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2.0,2.0,1991,2
2806.0,4880.0,63176.0,954.0,8337.0,8168.0,169.0,3343.6400000000003,618.9749999999999,165.995,161.0,9.12,161.0,0.0,8870.0,81498.0,14691.0,9207.0,10534.0,7977.0,16915.0,2482.0,228.6,6743.0,8069.0,76618.0,-308.0,92.0,0.0,144.0,0.0,-182.0,-254.0,4626.0,1820.0,2806.0,0.0,0.0,0.0,2806.0,0.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1998,1
2821.0,5746.0,117781.0,1242.0,6853.0,6359.0,494.0,3343.6400000000003,618.9749999999999,165.995,183.0,-458.0,641.0,0.0,8039.0,134098.0,54432.0,16262.0,13068.0,20487.0,8949.0,7036.0,228.6,5890.0,2228.0,128352.0,-4371.0,570.0,671.0,-113.0,0.0,1840.0,-1403.0,4343.0,1522.0,2821.0,0.0,0.0,0.0,2821.0,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3.0,3.0,2007,2
