CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
164581.61,443950.0,0.0,159285.86,789.94,158495.92,37630.38,56646.54,934.46,862238.91,271.52,0.0,45424.57,45696.09,2313252.6,300679.36,636279.48,1977652.49,0.0,90787.54,25749.79,256752.19,103650.18,2247291.83,0.0,0.0,0.0,132078.35,2268.22,754215.68,888562.25,4043789.08,53273.19,0.0,0.0,139762.99,0.0,21856.64,43740.9,44035.65,6214.38,1148.38,0.0,425381.42,324679.45,1060093.02,547254.28,-550075.03,203595.89,141861.22,786241.25,1128877.62,289563.99,0.0,0.0,289563.99,0.0,0.0,0.0,0.0,0.0,21999.3,21999.3,1543255.16,1565254.45,0.0,1565254.45,4043789.08,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,3.0,3.0,2019,4
165113.0,4771294.0,0.0,771190.0,57150.0,714040.0,542242.0,546364.0,5169.0,6744222.0,1737752.0,25461.0,0.0,1763213.0,16594750.0,4906382.0,9820886.0,11680246.0,3835.0,355193.0,275321.0,822532.0,579264.0,12557863.0,0.0,0.0,0.0,341905.0,0.0,1015161.0,1357066.0,22422364.0,1468028.0,0.0,0.0,3661784.0,366677.0,107201.0,177305.0,288806.0,122049.0,118296.0,0.0,3656098.0,1248271.0,11214515.0,6067108.0,27577.0,59424.0,496727.0,7843136.0,14493972.0,0.0,0.0,3050226.0,3050226.0,0.0,0.0,1.0,0.0,1.0,3980912.0,3980913.0,-10317262.0,-6336349.0,0.0,-6336349.0,22422364.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3.0,3.0,2010,4
166447.0,4396220.0,0.0,797298.0,57017.0,740281.0,504196.0,437737.0,62557.0,6307438.0,1785708.0,92004.0,0.0,1877712.0,16171966.0,4849489.0,9148053.0,11873402.0,3835.0,733170.0,311601.0,846818.0,557710.0,13211116.0,253.9,0.0,0.0,651591.0,0.0,1156209.0,1807800.0,23204066.0,808524.0,0.0,0.0,3559311.0,321207.0,91024.0,198988.0,284788.0,114694.0,107142.0,0.0,3573032.0,1300803.0,10359513.0,7252733.0,27577.0,40857.0,589229.0,6991036.0,14901432.0,7349.2,0.0,3160672.0,3160672.0,0.0,0.0,1.0,0.0,1.0,3926579.0,3926580.0,-9144131.0,-5217551.0,0.0,-5217551.0,23204066.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3.0,3.0,2009,3
166693.0,1228952.0,243566.0,654920.0,57367.0,841119.0,390880.0,201364.0,214230.0,3043238.0,558695.0,131586.0,4010.0,694291.0,8458693.0,2218393.0,4793755.0,5883331.0,25923.0,288879.0,223835.0,173284.0,139024.0,6456228.0,227665.0,30448.0,197217.0,67759.0,83797.0,1202176.0,1353732.0,11744706.0,34418.0,0.0,0.0,792807.0,305.0,12020.0,206912.0,169488.0,69236.0,92862.0,14313.0,1114370.0,526693.0,3033424.0,3384224.0,0.0,0.0,87272.0,2351563.0,5823059.0,7349.2,388.0,1102121.0,1102509.0,23.0,23000.0,163392.0,0.0,163415.0,2012570.0,2175985.0,-106688.0,2069297.0,283583.0,1785714.0,11744706.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3.0,3.0,1994,1
167688.0,2098442.0,50431.0,1876246.0,28157.0,1898520.0,626169.0,774002.0,85828.0,5650649.0,1.0,316699.0,84096.0,400795.0,16764758.0,2980428.0,7484945.0,12260241.0,10062.0,1523328.0,641702.0,2747730.0,1171515.0,16011548.0,253.9,0.0,0.0,300750.0,0.0,1613991.0,1914741.0,23977733.0,101096.0,0.0,0.0,977603.0,251506.0,248439.0,531366.0,303795.0,78490.0,267185.0,0.0,2929080.0,959709.0,6648269.0,2225852.0,19133.0,15374.0,1235238.0,1961833.0,5457430.0,1866911.0,0.0,2110005.0,3976916.0,0.0,0.0,1.0,0.0,1.0,1836432.0,1836433.0,6058685.0,7895118.0,0.0,7895118.0,23977733.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3.0,3.0,2000,3
167832.0,1274026.0,34275.0,1283750.0,25560.0,1292465.0,629428.0,881877.0,81102.0,4326730.0,1.0,339371.0,93213.0,432584.0,18304303.0,3006146.0,8046388.0,13264061.0,8692.0,1536760.0,778059.0,2287249.0,971877.0,16902944.0,253.9,0.0,0.0,315449.0,0.0,1670225.0,1985674.0,23647932.0,117867.0,0.0,0.0,1522337.0,185599.0,219077.0,348955.0,309119.0,79392.0,77646.0,0.0,2959782.0,872204.0,6691978.0,3095730.0,20284.0,16058.0,1053426.0,2055087.0,6240585.0,2156207.0,0.0,2083855.0,4240062.0,0.0,0.0,1.0,0.0,1.0,1847251.0,1847252.0,4628055.0,6475307.0,0.0,6475307.0,23647932.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3.0,3.0,2001,1
168889.86,736337.81,0.0,98402.43,1579.28,96823.15,65444.01,78367.45,1936.79,1147799.07,474.52,3476.78,43238.22,47189.53,2292856.67,390406.77,1081713.31,1601550.13,0.0,236348.2,207696.39,137626.58,78776.57,2104444.73,224.43,0.0,224.43,20409.18,1605.04,455621.93,477636.14,3777293.89,75132.2,0.0,0.0,212945.95,0.0,8791.82,21540.41,54257.99,16699.97,4803.35,0.0,537678.01,358965.85,1290815.55,1612236.87,-419305.47,142364.89,56269.01,666432.61,2057997.9,52491.46,0.0,0.0,52491.46,0.0,0.0,0.0,0.0,0.0,49079.92,49079.92,326909.07,375988.99,0.0,375988.99,3777293.89,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,3.0,3.0,2024,1
169156.44,3033.72,0.0,75492.95,636.12,74856.83,17551.41,21776.32,43106.3,326447.3,1.0,2845.0,45021.75,47866.75,779149.2,66806.51,152584.68,693371.03,0.0,2999.51,6081.68,1760.66,452.62,699452.71,253.9,0.0,0.0,519.76,0.0,15548.07,15548.07,1089314.83,31386.93,12333.03,0.0,58651.56,1755.09,270.84,10423.95,11731.37,2780.31,20113.17,0.0,174752.47,41815.97,363988.74,493894.19,0.0,0.0,460.67,6538.775,493894.19,7349.2,0.0,24408.47,24408.47,0.0,0.0,36.64,0.0,36.64,194833.03,194869.66,12153.76,207023.43,0.0,207023.43,1089314.83,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,3.0,3.0,2007,4
170750.24,427743.15,0.0,79339.73,249.96,79089.77,19803.43,36402.23,1348.02,735136.85,270.36,459.44,36326.0,37055.8,1560160.85,200437.19,398888.71,1361709.32,0.0,37847.95,25795.44,132103.86,46554.81,1510901.75,0.0,0.0,0.0,13641.62,3909.6,140158.29,157709.51,2440803.91,57077.31,0.0,0.0,110130.2,0.0,13105.99,12659.76,32089.54,4867.59,22306.28,0.0,451257.63,145075.57,848569.86,524824.96,-251163.04,378472.65,87771.48,95444.26,835350.3,167520.59,0.0,0.0,167520.59,0.0,0.0,0.0,0.0,0.0,-16584.42,-16584.42,605947.58,589363.16,0.0,589363.16,2440803.91,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,3.0,3.0,2016,1
171794.77,3000.0,0.0,38676.12,927.33,37748.79,7530.48,18740.22,36735.48,275549.74,1.0,11126.31,41638.51,52764.82,494532.57,37173.65,71611.51,460094.71,0.0,2999.51,-4281.03,602.15,602.15,455813.68,253.9,0.0,0.0,519.76,0.0,7882.43,7882.43,792010.67,18222.54,0.0,0.0,37240.38,1755.09,270.84,7523.18,8567.88,1386.94,14555.58,0.0,112688.81,33665.04,233850.35,282792.22,0.0,0.0,460.67,6538.775,282792.22,17331.13,0.0,20116.67,37447.79,0.0,0.0,36.0,0.0,36.0,186166.44,186202.43,51717.88,237920.31,0.0,237920.31,792010.67,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,2.0,2.0,2005,1
